"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
700 207 1 -1.25481042473897 3.47206905234225 1.88761868956129 -3.49549002437497 FALSE ""
800 530 2 -1.27639068544502 3.38208379776763 1.90629000288079 -3.30829085032904 FALSE ""
800 108 3 -1.26875113508845 3.27415528397802 2.14889900488956 -3.29687603247782 FALSE ""
400 668 4 -1.137001211356 3.32049404766798 1.86131383288514 -3.66169274660699 FALSE ""
1000 129 5 -1.29412105834304 3.34340939269516 2.29698353467859 -3.48275293624486 FALSE ""
900 584 6 -1.30088779545168 3.38871499665895 2.02641080190135 -3.31008678081792 FALSE ""
400 998 7 -1.32266775605006 3.4083130582191 2.09328956467077 -3.22351601430457 FALSE ""
900 941 8 -1.3111068340621 3.41202980199504 1.97656171949879 -3.17605251703149 FALSE ""
500 704 9 -1.34618456912344 3.52725467311181 2.02935275836251 -3.35111124651365 FALSE ""
700 827 10 -1.3405958469418 3.31318411811004 2.24085797370199 -3.44297466663934 FALSE ""
600 628 11 -1.34628524844505 3.43819172718585 2.21468187931044 -3.73334020852562 FALSE ""
600 500 12 -1.24683784235868 3.26896445651421 2.40260571147816 -4.13816290197108 FALSE ""
500 52 13 -1.4443602796905 3.60722649036398 2.31836498442832 -3.5007742265895 FALSE ""
700 536 14 -1.33145640602629 3.32821378322216 2.27351657376001 -3.3034621002112 FALSE ""
600 514 15 -1.29656907140163 3.47016693237002 1.92815710175249 -3.35392869512298 FALSE ""
800 472 16 -1.22771561869167 3.36013618285747 1.9608796156472 -3.52634167831135 FALSE ""
800 498 17 -1.28159197726893 3.33587679229627 2.41596926625256 -3.74659171201629 FALSE ""
1000 267 18 -1.28815279251775 3.4696231128633 1.91218795010561 -3.34505193957867 FALSE ""
800 864 19 -1.26251585283614 3.37254452049884 2.02940062777834 -3.54954708063962 FALSE ""
800 476 20 -1.32308027776093 3.3718994988935 2.12534463902348 -3.13537114597048 FALSE ""
1000 726 21 -1.37300643369688 3.52632887336511 2.02286032142848 -3.38806944232792 FALSE ""
1000 126 22 -1.24952263901314 3.41800808768818 2.05355108986876 -3.56208361300715 FALSE ""
900 800 23 -1.21056973231082 3.31265615799588 2.06363151588719 -3.49324025994249 FALSE ""
400 175 24 -1.33560899542664 3.33945008648668 2.45312209399633 -3.4793189187586 FALSE ""
800 281 25 -1.18980551089332 3.28699983509741 2.09044330700893 -3.59372520614554 FALSE ""
800 898 26 -1.2993525851887 3.3096362211602 2.18200576292344 -3.57058361006797 FALSE ""
800 74 27 0.594535825112795 3.34825829752525 -2.05377692196547 -2.46842546497799 FALSE ""
800 297 28 -1.34690457294867 3.51284325894272 2.14274969444306 -3.49764261292199 FALSE ""
700 631 29 -1.35536312073401 3.3350576240953 2.4797941879705 -3.54156471584284 FALSE ""
1000 864 30 -1.32792778852969 3.43448425924444 2.34150671003222 -3.6322463057605 FALSE ""
900 488 31 -1.32924667826194 3.36706110352039 2.33207277957406 -3.78254323833019 FALSE ""
1000 719 32 -1.32540881782451 3.33839658593593 2.20403028033474 -3.38363600542811 FALSE ""
500 910 33 0.600472572299324 3.32358580129032 -1.90476286633071 -2.83636528627094 FALSE ""
500 468 34 -1.2176094836318 3.3866995947748 1.96501127605745 -3.45541124457938 FALSE ""
600 742 35 -1.30599010612226 3.47805929838691 2.10694115385607 -3.48044295270576 FALSE ""
700 453 36 -1.3246174051097 3.33284812569267 2.24983914664798 -3.2792871383967 FALSE ""
900 664 37 -1.36879339049866 3.34858116920126 2.13810447344062 -2.99602350054675 FALSE ""
500 746 38 -1.26887449112366 3.2882918547426 2.25169261148544 -3.49127856907809 FALSE ""
800 710 39 -1.22697705833182 3.33084357070382 1.85118375952953 -3.07941709599804 FALSE ""
500 421 40 -1.27910590617083 3.45070851734117 1.92988488122231 -3.30477282816223 FALSE ""
400 67 41 -1.2472832078625 3.42250110157413 1.95596195282259 -3.52238962122837 FALSE ""
1000 381 42 -1.1921070567141 3.29669830390138 2.0545828409124 -3.52059204855935 FALSE ""
700 332 43 -1.34765849170581 3.46266335799596 2.18908236072237 -3.60302809415634 FALSE ""
1000 523 44 -1.33419178271731 3.35852014186885 2.47824941441824 -3.97294907555523 FALSE ""
500 988 45 -1.50513230973183 3.43103321282519 2.68192928917995 -3.58862210466835 FALSE ""
800 471 46 -1.30797407624909 3.44161352767615 2.0161465183104 -3.23674028276234 FALSE ""
600 595 47 -1.30967214292233 3.55607693693058 1.5772611080946 -2.90204734913631 FALSE ""
400 538 48 -1.30761404620222 3.31230558766561 2.19535116389044 -3.67507619044388 FALSE ""
1000 703 49 -1.26057430293172 3.39829276390591 1.99710252148148 -3.21919151235224 FALSE ""
500 128 50 -1.32448771743207 3.35487084725134 2.18824711707277 -3.131942539762 FALSE ""
400 629 51 -1.28755173905014 3.25483983978552 2.24694609267462 -3.42016389701394 FALSE ""
