"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
900 169 63 -1.30570437966586 3.35256330860635 2.43716508977628 -3.86829779077588 FALSE ""
800 127 64 -1.33990083644333 3.35167141594395 2.16466014580362 -3.38368578047406 FALSE ""
1000 193 65 -1.3835142798132 3.44817620551688 2.44216862645296 -3.38231858786705 FALSE ""
500 88 66 -1.15827351233336 3.14246426261109 1.98659208243192 -3.20255815084167 FALSE ""
800 159 67 -1.29360268017339 3.36292388975857 2.18875385483619 -3.42720400628262 FALSE ""
1000 172 68 -1.32215697833143 3.39324956989437 2.12043258358043 -3.37837961012717 FALSE ""
1000 80 69 -1.46113961293341 3.52584102704051 2.46813589071534 -3.679184907194 FALSE ""
1000 88 70 -1.28663549165038 3.43606142511401 2.04117725801181 -3.40976685076626 FALSE ""
800 185 71 -1.3057008461508 3.47067660445169 1.86727438812522 -3.29703338354379 FALSE ""
500 165 72 -1.47578517831929 3.44478236439098 2.71048946111827 -3.69050934823113 FALSE ""
1000 55 73 -1.36903467190172 3.44083019755909 2.32849894737726 -3.67630430057465 FALSE ""
700 78 74 -1.24453515269122 3.3034299310211 2.09193266580108 -3.2864298965544 FALSE ""
900 165 75 -1.35345598846565 3.2826033366597 2.55013664170976 -3.85728242530421 FALSE ""
400 59 76 -1.35295772315877 3.4638016473847 2.1632102646011 -3.5056412133018 FALSE ""
700 157 77 -1.30793540840268 3.46890444186159 1.85721213639031 -3.18234709551024 FALSE ""
500 143 78 -1.34349960372432 3.43565319112337 2.26067123193056 -3.59355663291648 FALSE ""
600 104 79 -1.31880704961256 3.32584379080635 2.19914256469823 -3.23676755252889 FALSE ""
800 62 80 -1.29036716757791 3.36414961860811 1.96744123108057 -3.21124548708694 FALSE ""
800 44 81 -1.33967250712286 3.44105284611027 2.16713377984589 -3.33956345320745 FALSE ""
500 56 82 -1.35924356060777 3.42974430926768 2.02522392957753 -3.08080773472906 FALSE ""
400 120 83 0.411836279637492 3.65464824247051 -2.04724834968831 -2.53853982518288 FALSE ""
600 33 84 -1.22708299133431 3.36318662651955 1.88831520525712 -3.24969018931108 FALSE ""
400 124 85 -1.31336265017748 3.49089132674967 1.92971408708985 -3.21380035272397 FALSE ""
1000 142 86 -1.28315043095082 3.33240447568744 2.2003546811204 -3.43404317264294 FALSE ""
900 118 87 -1.30501176169087 3.368995606702 2.00692195785201 -3.36156787424257 FALSE ""
1000 21 88 -1.31527861233974 3.4430256326498 2.04990253088235 -3.49129343416569 FALSE ""
900 32 89 -1.36942080870734 3.49395803622401 2.1951951793938 -3.36355166970575 FALSE ""
900 144 90 -1.40959991776351 3.47120306399901 2.27768264358455 -3.43502543391005 FALSE ""
