"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
300 1.5 1.5 194 1 1.33675086350595 1.88135324267731 FALSE ""
200 1.5 1.5 674 2 1.634615237051 1.14707973699838 FALSE ""
200 1.5 0.5 200 3 1.57110177905937 0.485557358819451 FALSE ""
200 0.5 1.5 561 4 0.461182878995603 1.71187388652967 FALSE ""
100 1.5 0.5 630 5 1.62090104190475 0.346623950625227 FALSE ""
150 1.5 1.5 635 6 1.72725425579157 1.04496773819636 FALSE ""
200 1 0.5 281 7 1.27732803092327 0.337828154849061 FALSE ""
300 1 1.5 525 8 0.930450401698036 1.90518758522154 FALSE ""
50 0.5 1.5 826 9 0.519277864570895 0.905692842959018 FALSE ""
300 1.5 1.5 766 10 1.3891016677391 1.74859718799126 FALSE ""
300 1 0.5 800 11 1.13935066860538 0.422762176554617 FALSE ""
200 1.5 1.5 734 12 1.37629910294776 1.69073339489866 FALSE ""
200 1 1.5 435 13 1.37837666464829 0.776812192545164 FALSE ""
50 1.5 1.5 443 14 1.03824564600442 4.84373197979724 FALSE ""
300 0.5 1.5 376 15 0.475268356195008 1.7043051633326 FALSE ""
50 0.5 0.5 511 16 0.519950390272771 0.536124264754976 FALSE ""
150 1.5 0.5 799 17 1.985035114522 0.320183508436896 FALSE ""
200 1 1.5 888 18 0.860414750591518 1.93505881714894 FALSE ""
50 1.5 1.5 223 19 1.05379535528565 3.73901594929362 FALSE ""
150 0.5 1.5 414 20 0.493426626878861 1.40735599808379 FALSE ""
200 1.5 1.5 195 21 1.64358380729917 1.2412680388694 FALSE ""
150 1.5 1.5 239 22 1.54857357588065 1.18817718253289 FALSE ""
300 0.5 0.5 578 23 0.475646325969174 0.571798572161373 FALSE ""
50 1.5 0.5 31 24 1.29277336194645 0.604763778918675 FALSE ""
50 0.5 0.5 343 25 0.487292460012717 0.343902273511308 FALSE ""
100 1 1.5 851 26 1.2156030749293 1.18580933141345 FALSE ""
300 1.5 0.5 510 27 1.32768527005273 0.66560751926473 FALSE ""
300 1.5 1.5 877 28 1.45477879703409 1.74579104349814 FALSE ""
200 1.5 0.5 461 29 1.62755739779679 0.346699625076234 FALSE ""
150 0.5 1.5 372 30 0.462440594798581 1.60533097979496 FALSE ""
150 1.5 1.5 706 31 1.50598850271625 1.36696621495205 FALSE ""
300 0.5 1.5 699 32 0.652589819538116 0.767139497422421 FALSE ""
200 1 0.5 623 33 0.995664765042754 0.628833639719891 FALSE ""
100 1.5 0.5 170 34 2.33781395325705 0.224532242119857 FALSE ""
100 1.5 1.5 829 35 1.50147715206937 1.51264062174669 FALSE ""
100 1.5 0.5 574 36 1.40039918653405 0.491288352108266 FALSE ""
150 1 1.5 116 37 0.952092127482424 2.06882163677788 FALSE ""
50 1 0.5 104 38 1.25070581829013 0.279451135899293 FALSE ""
200 1 1.5 137 39 1.09625710962327 1.13188926036348 FALSE ""
300 1.5 1.5 343 40 1.73179998312372 1.13904148137415 FALSE ""
300 0.5 0.5 290 41 0.462731986793102 0.614708457988473 FALSE ""
100 1 1.5 312 42 1.08562574108908 1.03770790274703 FALSE ""
300 1 1.5 211 43 0.979622141564179 1.59269721895285 FALSE ""
300 1 0.5 787 44 0.661957407235503 1.12929799712156 FALSE ""
100 0.5 0.5 227 45 0.28698588029047 2.56477426522198 FALSE ""
100 1 0.5 423 46 0.76221843372944 0.771470225026479 FALSE ""
300 0.5 1.5 511 47 0.642009191478279 0.687824789957568 FALSE ""
300 1.5 0.5 866 48 1.45647866302782 0.506546699061702 FALSE ""
150 1.5 1.5 620 49 1.28165507594736 2.50841280277425 FALSE ""
300 0.5 1.5 507 50 0.572461542110434 1.20792278802361 FALSE ""
100 1 1.5 342 51 1.01042696865907 1.66694743141387 FALSE ""
100 1.5 1.5 738 52 1.20261698815726 2.68259223840426 FALSE ""
200 1.5 1.5 222 53 1.60841438615267 1.36775926121376 FALSE ""
100 0.5 1.5 97 54 0.473743533133487 2.20956993203848 FALSE ""
50 1.5 1.5 714 55 1.43148749117023 1.46816696824126 FALSE ""
100 1.5 1.5 280 56 1.34273378255203 2.20061679131287 FALSE ""
300 1 0.5 359 57 1.0267925161512 0.41408841317255 FALSE ""
150 1 0.5 303 58 1.0522282184704 0.394481212597616 FALSE ""
150 1.5 0.5 217 59 2.0919380461065 0.255860624404262 FALSE ""
150 1.5 1.5 78 60 1.34438986131034 1.85636792050155 FALSE ""
50 1 0.5 642 61 0.519898729373846 2.13672203479998 FALSE ""
300 1 0.5 560 62 1.15688299983131 0.429115082331402 FALSE ""
300 1 1.5 624 63 1.12083996863479 1.15169148692945 FALSE ""
300 0.5 0.5 421 64 0.529270973025086 0.516342939386665 FALSE ""
200 0.5 0.5 188 65 0.449038863630392 0.643798516619741 FALSE ""
50 1.5 0.5 847 66 2.20142064416339 0.223975212742673 FALSE ""
200 1.5 1.5 72 67 1.72432593240634 1.12064357742308 FALSE ""
200 1.5 1.5 243 68 1.65555714164403 1.07396612439743 FALSE ""
100 0.5 1.5 818 69 0.424032683007271 2.09747377526231 FALSE ""
150 1.5 0.5 195 70 1.45766655120313 0.583784820928097 FALSE ""
200 1 1.5 641 71 1.01243633707734 1.52468225424917 FALSE ""
200 1.5 0.5 440 72 1.60469704301044 0.383174738397775 FALSE ""
300 1.5 1.5 179 73 1.69857801200767 1.03713386103524 FALSE ""
300 1.5 0.5 304 74 1.47855060662299 0.567723712423636 FALSE ""
50 1.5 1.5 126 75 1.09729343912654 3.69901869880003 FALSE ""
150 0.5 1.5 488 76 0.62640502416501 0.815425227989224 FALSE ""
50 1 0.5 217 77 0.787693765231092 0.693315046510358 FALSE ""
200 1.5 0.5 823 78 1.53898270141876 0.429252279365642 FALSE ""
