"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
100 87 1 -1.24329998184287 3.19722672941659 1.67247468384465 -2.53677047557151 FALSE ""
200 81 2 -1.27359649613041 3.39355650111919 2.14354755563588 -3.88192234932387 FALSE ""
100 21 3 -1.43145689356383 3.51659620852922 1.96093140944518 -2.97928262039895 FALSE ""
150 9 4 -1.20834348778191 3.34826624903595 1.44657785864987 -3.26863999355089 FALSE ""
300 58 5 0.57906297975627 3.49349325441545 -2.09652184443672 -2.91769480435727 FALSE ""
100 49 6 -1.20596621569177 3.27517654834929 1.93559536173405 -2.9905724457228 FALSE ""
150 90 7 -1.52303885573817 3.41858851066281 2.54706829400314 -3.19553981056325 FALSE ""
200 29 8 -1.33949328382703 3.53915955638987 2.25803464639711 -3.66140924714054 FALSE ""
300 13 9 -1.41465399942048 3.60943276782018 1.99487571889019 -3.14876307772963 FALSE ""
300 56 10 -1.14018436400053 3.31842272596488 1.51946749335133 -2.9714002280022 FALSE ""
100 25 11 -1.4706334616342 3.51242336191336 2.28586201817134 -3.397125773596 FALSE ""
300 4 12 -1.30586873534348 3.43488307651343 1.99721025685344 -3.50669077041531 FALSE ""
150 24 13 -1.37771335764093 3.56247799210346 2.00620827940427 -3.01151349647669 FALSE ""
150 79 14 -1.44317432022279 3.58298345076274 2.5611411842274 -3.99488326290412 FALSE ""
300 88 15 -1.40499303892323 3.68851511561885 2.05916173806756 -3.53984405620384 FALSE ""
300 70 16 0.576665383465406 3.28090165353197 -1.82405419977878 -2.80455994962672 FALSE ""
300 20 17 0.738609821710359 3.12833243514945 -1.98934791013215 -2.78496282761385 FALSE ""
200 99 18 -1.28712767825509 3.31005076729732 2.44437520630297 -3.82957240428172 FALSE ""
50 54 19 -0.95631325359952 3.25293078321629 1.21195525764889 -2.56972560825898 FALSE ""
300 69 20 -1.41317523334152 3.5054193943648 2.25559007207535 -3.41613401531032 FALSE ""
50 73 21 -1.57686136814096 3.40581505997001 3.81954196881696 -5.36912294417139 FALSE ""
150 53 22 0.770552523157317 3.82612284226694 -2.59581057341203 -3.07574571729844 FALSE ""
200 19 23 -1.38497300764543 3.17762828809594 2.69130767124509 -3.26939487913409 FALSE ""
150 26 24 0.489151876539535 3.46521379897359 -2.13468387822728 -2.30001754460681 FALSE ""
300 8 25 -1.26620377537324 3.41227532728358 2.10044635316072 -3.46865057727597 FALSE ""
300 27 26 0.606252846968692 3.29127768948518 -1.92918099212409 -2.62960249795546 FALSE ""
200 72 27 -1.21822362773862 3.32502251441406 2.0679398737213 -3.34800149445664 FALSE ""
150 46 28 0.757793900351109 3.08820220012163 -2.24063806698698 -2.51176600631268 FALSE ""
150 5 29 -1.371941419402 3.39978575586134 2.32490758324475 -3.63722162542528 FALSE ""
50 12 30 -1.12008144664696 3.18897044105859 1.17355074857803 -2.89114523454411 FALSE ""
50 60 31 0.0973412686302066 3.8499132462612 -1.99750286080961 -1.30268049573263 FALSE ""
300 54 32 -1.24612627695197 3.33002961913611 2.12728006037737 -3.48729518637628 FALSE ""
300 100 33 -1.30934741824115 3.42969559349611 2.11277129987831 -2.84503870347142 FALSE ""
300 24 34 -1.13246198818616 3.34078607934451 1.59511158544378 -3.02880475466618 FALSE ""
100 76 35 -1.48078391715405 3.76263619772685 1.67212205797185 -2.12245426416627 FALSE ""
200 70 36 -1.24006130685643 3.18383766278919 2.74266048053362 -4.30140595409066 FALSE ""
150 43 37 -1.56071751043396 3.526258557401 2.79298046602711 -3.52841724995498 FALSE ""
150 14 38 -1.19085318365692 3.45274048034575 1.7342882273736 -2.78049439474929 FALSE ""
150 29 39 -1.46731458406333 3.33446143232516 2.73215527749449 -3.37349240409336 FALSE ""
300 79 40 -1.17953585037877 3.38019622171059 1.5281439706185 -3.24469832420423 FALSE ""
50 30 41 -1.14744380464339 3.00529722766993 2.05054559842542 -3.24758676897547 FALSE ""
50 9 42 0.729037162714383 3.06000078451204 -2.36662558340635 -1.59906092347373 FALSE ""
100 58 43 -1.22014641511417 3.30778604280544 2.18567200214491 -3.26417116311807 FALSE ""
200 77 44 -1.45813120805807 3.39823442900379 2.79377288605831 -3.91841586823598 FALSE ""
200 2 45 -1.45286291598081 3.31413937808447 2.75850028292661 -3.80081227258676 FALSE ""
50 64 46 -1.44440418085783 3.97749114781203 1.81859442179456 -4.24994917619304 FALSE ""
150 77 47 -1.41747221288694 3.4413937970318 2.88598468325537 -4.52073682312252 FALSE ""
100 68 48 -1.17833351184214 3.37009233421725 2.07229907291829 -3.99757644462172 FALSE ""
200 92 49 -1.16413467856024 3.14093113163335 2.08843694474019 -3.51508466536116 FALSE ""
150 30 50 0.665980389432991 3.45155122997041 -2.08274578751691 -2.56543032264852 FALSE ""
150 89 51 -1.28350688978387 3.27944194783411 2.5862026184117 -3.76687851470773 FALSE ""
300 16 52 -1.24862375422733 3.422581695455 1.94920828653413 -3.55155258842008 FALSE ""
300 63 53 -1.19495733082068 3.23597869713903 1.7643331344642 -3.14926019241088 FALSE ""
100 31 54 -1.47207998152663 3.47150038802483 2.20485632076117 -2.75234604520667 FALSE ""
200 100 55 -1.37177857877175 3.31474888422158 2.32757298581042 -3.27134430159578 FALSE ""
200 32 56 -1.42295816734133 3.5010212725013 2.49419312979523 -3.73223318358165 FALSE ""
100 85 57 -1.24909430765315 3.21038793600184 2.14183083517261 -3.74883817195371 FALSE ""
300 42 58 -1.28647129496549 3.36432715549024 2.12511343323218 -3.72070826418783 FALSE ""
200 61 59 -1.21528167103558 3.27209322328347 1.72252336169006 -2.84013869599436 FALSE ""
100 8 60 -1.47557122820946 3.14274292887908 3.57985456303438 -4.63644971331823 FALSE ""
150 52 61 -1.35683287193272 3.5055058452637 2.43352013842916 -3.70939815265882 FALSE ""
50 59 62 3.09658030793431 3.37968206509006 -7.60754419456288 -1.45131176588442 FALSE ""
300 89 63 -1.38277095409734 3.41656824456811 2.18576945015179 -3.33723371510154 FALSE ""
200 23 64 -1.66372932568008 3.88469228886328 2.20311614522238 -3.30346414676453 FALSE ""
50 92 65 -1.28277844984107 3.18573719365503 2.20103936791267 -3.40795715486606 FALSE ""
100 57 66 -1.46864936229329 3.51494239426777 1.96517824712485 -3.44912173400062 FALSE ""
100 74 67 -1.28871301617267 3.22491547197948 2.20473015247215 -3.73352109405024 FALSE ""
200 89 68 -1.23058919201227 3.36005220833696 2.16790143365652 -3.72145909954864 FALSE ""
50 62 69 -1.51394538155449 3.60699422622147 3.33403600235192 -4.539612643112 FALSE ""
50 20 70 -1.79448893836651 3.53837883095441 3.87529138628432 -3.45945126299661 FALSE ""
300 99 71 0.817012635450441 3.36430697879508 -2.53138633660195 -2.48860019787213 FALSE ""
200 63 72 -1.10141126076021 3.07947115058621 2.14592034858884 -3.69502089195768 FALSE ""
100 70 73 -1.30859013069101 2.92441965698744 2.63903022160971 -3.20353900223484 FALSE ""
150 39 74 -1.28686449626763 3.27387166849469 2.38983687874016 -3.44104172108687 FALSE ""
300 49 75 -1.393196640913 3.46737719327634 2.41564519736548 -3.56590431344912 FALSE ""
150 55 76 -1.04479383553999 3.16400203404064 1.95305077872339 -3.35675750641412 FALSE ""
150 93 77 -1.41961300643132 3.53110425607467 2.30354410353531 -3.32238997098079 FALSE ""
100 69 78 0.493568189322093 3.46444120370214 -1.74067786578472 -3.24403585849267 FALSE ""
