"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
1000 1.5 1.5 932 1 1.36277360764227 2.01072493302533 FALSE ""
100 0.5 1.5 86 2 0.534764256885095 1.58937941333282 FALSE ""
600 1 1.5 203 3 1.1026638610248 1.21851156002711 FALSE ""
900 0.5 1.5 157 4 0.471515802774952 1.61971708031669 FALSE ""
100 1 1.5 497 5 0.946476518744982 1.85444432132631 FALSE ""
1000 1 1.5 146 6 0.9814936605779 1.56980113130396 FALSE ""
800 1.5 0.5 7 7 1.57765925557002 0.480050750347176 FALSE ""
600 0.5 0.5 200 8 0.495057522905205 0.596258275354811 FALSE ""
200 0.5 0.5 129 9 0.411220786067534 0.736868897567073 FALSE ""
1000 1.5 0.5 274 10 1.5917667238469 0.460133283341959 FALSE ""
200 0.5 0.5 561 11 0.34501885817781 1.14891775640722 FALSE ""
100 0.5 0.5 591 12 0.479298760117402 0.507353948828601 FALSE ""
500 1 0.5 981 13 1.11489999957896 0.410509318718619 FALSE ""
400 1.5 0.5 459 14 1.39870192036536 0.564209098885026 FALSE ""
300 0.5 0.5 115 15 0.481874296515891 0.513617526839462 FALSE ""
400 0.5 1.5 297 16 0.57008072459648 1.12842588539454 FALSE ""
900 0.5 0.5 950 17 0.547881132742506 0.431431377853471 FALSE ""
100 1.5 0.5 647 18 1.45705759604915 0.461969986416176 FALSE ""
600 1.5 0.5 370 19 1.50550636923449 0.499088310726481 FALSE ""
300 1 0.5 626 20 0.902564444047113 0.715933088959052 FALSE ""
800 1 1.5 83 21 0.896740588737669 1.95990998947132 FALSE ""
300 1 0.5 465 22 1.04576768599892 0.427602177155469 FALSE ""
500 1.5 1.5 553 23 1.68627472972989 1.36699170714916 FALSE ""
900 1 1.5 196 24 1.01110461119842 1.41983026830638 FALSE ""
100 1 1.5 860 25 0.787422650134707 2.44144325584073 FALSE ""
700 1 1.5 984 26 1.02665314323401 1.42175965628957 FALSE ""
200 0.5 0.5 760 27 0.574409933261632 0.469725254608102 FALSE ""
1000 1 0.5 854 28 0.901466938607532 0.529213727047551 FALSE ""
100 1.5 0.5 960 29 1.41125988430925 0.59802515357009 FALSE ""
1000 1 0.5 662 30 0.962355144593757 0.539578648666874 FALSE ""
200 1.5 0.5 485 31 1.54155856839071 0.601444097277552 FALSE ""
800 0.5 0.5 975 32 0.452806703874536 0.633041224803994 FALSE ""
200 1 0.5 61 33 0.736398458980908 0.904728319198252 FALSE ""
400 1 1.5 415 34 0.913439632061227 1.79304657184519 FALSE ""
500 1 0.5 256 35 0.866193568555836 0.664855447543553 FALSE ""
1000 1 1.5 516 36 1.09422111718116 1.16253923121283 FALSE ""
200 0.5 1.5 211 37 0.604271902190577 1.02181700391701 FALSE ""
100 1.5 0.5 42 38 1.4690314052197 0.509473763915515 FALSE ""
300 1 1.5 1 39 0.97352094387323 1.4483002221683 FALSE ""
300 1.5 0.5 279 40 1.59825563487779 0.440899032646466 FALSE ""
600 0.5 1.5 972 41 0.569268379703894 1.17847113543627 FALSE ""
700 0.5 0.5 956 42 0.579617408580951 0.340952088132797 FALSE ""
300 1 1.5 293 43 1.16305545877584 1.21837560756311 FALSE ""
200 1 1.5 603 44 1.2628776441421 0.857987030576063 FALSE ""
400 1.5 0.5 984 45 1.63581927050635 0.362404428548324 FALSE ""
800 1 1.5 676 46 1.1337209027948 1.23144975408199 FALSE ""
900 1.5 0.5 677 47 1.66400353383231 0.397257759581452 FALSE ""
100 1 0.5 697 48 0.995250903059216 0.610809589500337 FALSE ""
700 1.5 1.5 551 49 1.39329275382784 1.89968673874029 FALSE ""
300 1 0.5 555 50 1.15693741707427 0.385940402677149 FALSE ""
600 1 1.5 235 51 1.00097277028513 1.41068416270075 FALSE ""
800 1.5 1.5 570 52 1.47812812293814 1.55729793502067 FALSE ""
200 1.5 1.5 791 53 1.39074056599289 1.98592529055774 FALSE ""
600 1 1.5 721 54 0.909196808513698 1.89514713205556 FALSE ""
100 1 1.5 324 55 0.990401319338175 1.10497705447674 FALSE ""
300 1.5 0.5 478 56 2.11285022580529 0.264555904608619 FALSE ""
600 1 0.5 843 57 1.18927112162252 0.415292504328201 FALSE ""
400 1.5 0.5 912 58 1.53627033162614 0.431989197087636 FALSE ""
800 0.5 1.5 99 59 0.514364188132571 1.24096828590582 FALSE ""
500 0.5 0.5 448 60 0.500061776112173 0.538914708252854 FALSE ""
200 0.5 0.5 939 61 0.376367008141316 1.13400189513021 FALSE ""
300 1 1.5 425 62 1.01777520442612 1.43416632502314 FALSE ""
600 1.5 1.5 258 63 1.45199448285975 1.77515474703402 FALSE ""
600 1 0.5 578 64 0.914868059418549 0.594659583812444 FALSE ""
400 1 0.5 324 65 1.02321069846937 0.556159324793845 FALSE ""
600 1 0.5 434 66 1.17964973496607 0.33787060664821 FALSE ""
900 1 1.5 901 67 1.05572708937207 1.35189619071626 FALSE ""
600 0.5 1.5 172 68 0.546694106359124 1.11727952490245 FALSE ""
