"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
1000 1 1.5 352 1 1.00801054238357 1.54764313546627 FALSE ""
1000 0.5 0.5 414 2 0.390246245310641 0.887573458858655 FALSE ""
1000 1 0.5 264 3 0.979450038628108 0.546123197450045 FALSE ""
200 0.5 1.5 22 4 0.639991226279814 0.820364580985242 FALSE ""
900 0.5 1.5 427 5 0.522072760840221 1.38342050873847 FALSE ""
100 1.5 0.5 156 6 1.72767415755986 0.356579203753826 FALSE ""
800 1.5 0.5 216 7 1.43553255245248 0.557147984885357 FALSE ""
300 1.5 1.5 247 8 1.39571320744626 1.7860087940157 FALSE ""
300 1.5 0.5 269 9 1.32801129711346 0.621016758538984 FALSE ""
900 1 1.5 114 10 0.93678497423408 1.84751747786774 FALSE ""
1000 1.5 1.5 87 11 1.51342865778153 1.37044972225864 FALSE ""
700 0.5 1.5 405 12 0.546126696663002 1.14305636446 FALSE ""
400 1.5 0.5 77 13 1.83260641424085 0.264479351152535 FALSE ""
100 0.5 0.5 260 14 0.317205207898346 0.692971090366281 FALSE ""
100 1 1.5 26 15 0.86437426455355 1.53064228484435 FALSE ""
900 0.5 1.5 197 16 0.519961080950362 1.35551183086822 FALSE ""
1000 1.5 1.5 85 17 1.49291989910963 1.52315200861676 FALSE ""
900 1.5 1.5 94 18 1.48170732536551 1.52675707508634 FALSE ""
900 1.5 1.5 211 19 1.60119041051496 1.24804717797181 FALSE ""
1000 0.5 1.5 19 20 0.452001951089281 2.13712811577993 FALSE ""
800 0.5 1.5 2 21 0.496342183823218 1.61743554862177 FALSE ""
800 0.5 1.5 165 22 0.53434904786996 1.31024549350509 FALSE ""
100 0.5 0.5 261 23 0.401221447311583 0.826644889617129 FALSE ""
1000 1.5 1.5 179 24 1.53311228897107 1.44192112778892 FALSE ""
700 1 1.5 233 25 0.96052908080964 1.68498522029482 FALSE ""
100 1.5 0.5 333 26 1.95200809341936 0.28802069290383 FALSE ""
900 1.5 0.5 307 27 1.64714136546461 0.433498335433085 FALSE ""
500 1 1.5 173 28 0.856432780976365 1.82749996742227 FALSE ""
200 1.5 1.5 262 29 1.67039018923307 1.25651562544097 FALSE ""
400 1 0.5 383 30 1.15638234700288 0.417837316972377 FALSE ""
100 1 1.5 280 31 0.953007376748439 1.63231828296689 FALSE ""
200 1.5 1.5 113 32 1.64065705531075 1.16759351637891 FALSE ""
900 1.5 1.5 4 33 1.60418754472091 1.26731018108301 FALSE ""
200 1.5 1.5 322 34 1.40035021889955 1.55053619917685 FALSE ""
100 1.5 1.5 144 35 1.39096196937474 1.6767366744486 FALSE ""
400 1 1.5 433 36 1.1548580724311 0.942092616817837 FALSE ""
200 1.5 1.5 398 37 1.47286704736142 1.66104819565295 FALSE ""
600 0.5 1.5 1 38 0.570144083903015 1.11520293729104 FALSE ""
800 1 1.5 105 39 1.03188575331418 1.44527302779839 FALSE ""
700 0.5 0.5 368 40 0.376294043776734 1.00215252331354 FALSE ""
600 1.5 0.5 46 41 1.58730664921865 0.444419459157507 FALSE ""
600 1 0.5 455 42 1.06811923034527 0.404817016542779 FALSE ""
600 1.5 0.5 92 43 1.31322496652755 0.630968625244083 FALSE ""
100 1 1.5 45 44 0.795731318998022 2.70105228513332 FALSE ""
600 1.5 0.5 442 45 1.58344182629604 0.465548356939146 FALSE ""
800 1 0.5 87 46 0.933386906329254 0.571354259841117 FALSE ""
300 0.5 0.5 95 47 0.422422821582367 0.716183083784022 FALSE ""
300 1.5 1.5 44 48 1.43406424133213 1.69186839301785 FALSE ""
100 1 1.5 473 49 1.03320326277612 1.41418887280345 FALSE ""
200 1 1.5 314 50 1.03459474397835 1.40348584215651 FALSE ""
900 1.5 0.5 183 51 1.50530129433219 0.499786846796547 FALSE ""
700 1 0.5 296 52 0.912119064543849 0.648834077302012 FALSE ""
100 0.5 1.5 219 53 0.489172024715461 1.98155635025905 FALSE ""
900 1 1.5 280 54 1.01010264104636 1.33673422589817 FALSE ""
200 1.5 0.5 354 55 1.50123378931292 0.586975018697777 FALSE ""
1000 0.5 1.5 216 56 0.513164060849079 1.61381986424152 FALSE ""
200 1 0.5 467 57 1.04901282980074 0.415164352944158 FALSE ""
300 1 1.5 6 58 0.987270639928117 1.74706268156443 FALSE ""
600 1.5 0.5 339 59 1.56066816861286 0.463017750773153 FALSE ""
1000 0.5 1.5 101 60 0.479792517564463 1.67860413684835 FALSE ""
300 1 0.5 452 61 0.904453912985581 0.661848389264627 FALSE ""
200 1 1.5 136 62 0.778859657337809 3.07687030887279 FALSE ""
700 0.5 0.5 207 63 0.496805681241021 0.487210646265882 FALSE ""
900 1.5 1.5 363 64 1.50230112330357 1.40771719755815 FALSE ""
