"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
300 238 78 -1.21233493349259 3.41770430400583 1.92085164017998 -3.42047230811118 FALSE ""
150 58 79 -1.22329028337816 3.5154607703883 1.81276380138795 -3.29217662066746 FALSE ""
50 388 80 -1.01150474373458 2.94238282516178 1.41880399818566 -2.42904456753565 FALSE ""
150 239 81 -1.33711955626833 3.59321857421367 1.5852486835192 -2.69952963786513 FALSE ""
200 40 82 -1.50417009503437 3.36374728809292 2.53336901163365 -3.22715722115396 FALSE ""
200 42 83 -1.28256976050066 3.41574144005649 1.54760228611147 -3.03752828487918 FALSE ""
100 4 84 -1.47220921271481 3.63089438202256 2.7033398152531 -4.30490972080554 FALSE ""
150 198 85 -1.14416321651507 3.14827542646506 1.65143682525464 -2.57393094776259 FALSE ""
50 210 86 -1.46115017407576 3.61298664311967 2.77238158395769 -4.17136421785413 FALSE ""
150 100 87 -1.15935801224447 3.22841061811072 1.89758659825557 -2.94617131077043 FALSE ""
100 161 88 -1.23474595657527 3.19585201882928 2.03539433998286 -3.2469433254914 FALSE ""
200 314 89 -1.37496469032598 3.68729253273043 1.75750369304991 -3.04592506014572 FALSE ""
200 400 90 -1.0472857937174 2.96813354224437 2.12740934857392 -3.06821521144947 FALSE ""
100 396 91 0.28572000727496 3.73259263789845 -1.7006559807714 -3.33577295362505 FALSE ""
50 316 92 -1.40412953047238 3.59089513591983 1.98127530302536 -3.21829407561244 FALSE ""
300 363 93 -1.16047984643403 3.46015449658316 1.79538155576421 -3.3927800994197 FALSE ""
100 124 94 -1.30684445327799 3.30002684817925 2.20623280640352 -2.62595064694014 FALSE ""
300 385 95 -1.26453588676328 3.42609806906906 2.30150198250989 -3.86489804663431 FALSE ""
150 83 96 -1.03059838453614 3.07549606691011 1.82721859931674 -3.18121280773433 FALSE ""
300 186 97 -1.28018719742291 3.50205503206839 1.84947992764577 -3.24311528517946 FALSE ""
100 73 98 -1.19336523658374 3.24449864531151 2.17888965505195 -3.56731550369246 FALSE ""
200 203 99 -1.17285652102325 3.27101320525803 1.93026851168529 -3.71418575214973 FALSE ""
50 250 100 -1.300862645182 3.31824474818777 2.55329224543225 -3.18437334896554 FALSE ""
150 199 101 -1.15845115502775 3.38440502357326 1.62185979049267 -3.22022896471084 FALSE ""
300 121 102 -1.33919312173566 3.42104576799273 1.99580534705277 -3.01807608307113 FALSE ""
200 386 103 -1.46531213697548 3.37627484605835 2.52726417023525 -3.3899884036804 FALSE ""
300 174 104 -1.34950050679304 3.21952834318011 2.31799437323326 -3.25012255184703 FALSE ""
150 43 105 -1.38240892555912 3.30221552819328 2.72458211919547 -3.79086880039641 FALSE ""
100 373 106 -1.3657976850583 3.45976720805129 2.22405760804499 -3.69771224332439 FALSE ""
150 24 107 0.743229691463105 3.36438804822869 -2.06408148783257 -2.91279949187694 FALSE ""
200 358 108 -1.16043803333599 3.25317194057439 2.11010483336821 -3.13975509163536 FALSE ""
300 213 109 -1.2355233174162 3.23496235956228 1.84021899091099 -2.88651246252935 FALSE ""
200 57 110 0.713374151262716 3.29948969361439 -2.26455043060134 -2.56834198016263 FALSE ""
200 398 111 -1.21491973542246 3.32621338593644 1.95713414762914 -3.52528634536408 FALSE ""
50 300 112 -0.877621556537887 3.39022474401329 1.55934236632757 -3.87672464195978 FALSE ""
150 82 113 -1.21517794682972 3.34579340225465 1.74606782799121 -3.38840307161932 FALSE ""
150 376 114 -1.18388789270152 3.27258891312196 1.72897061889018 -3.17280764638849 FALSE ""
150 295 115 -1.23889471381613 3.4733717898585 1.54334389586686 -3.27658310652513 FALSE ""
100 30 116 -1.22683542007663 3.11727158286163 2.01468389917486 -3.29797034455823 FALSE ""
150 221 117 -1.16709409662302 3.09456244154408 2.35238806445129 -3.82223771460801 FALSE ""
150 259 118 -1.25745489128016 3.19803557516184 2.66028449826715 -3.75631630228182 FALSE ""
300 260 119 -1.3405387825161 3.28745578309393 2.63567111130478 -4.1719012871963 FALSE ""
150 328 120 -1.29536518288692 3.30148690941027 2.43254177340225 -3.69287891495918 FALSE ""
50 361 121 -1.11562840416904 3.11325692527963 2.21441147989282 -3.32616662323955 FALSE ""
200 185 122 0.65425556833201 3.42015736926359 -2.03983260450447 -2.75923302063727 FALSE ""
150 290 123 0.525577725195943 3.45345695361895 -2.02840619140732 -2.59751199134584 FALSE ""
50 144 124 -1.27883678708584 2.9290289174663 2.01057170359812 -1.65596150154099 FALSE ""
150 354 125 -1.37876674985759 3.39644952082091 2.80683522079208 -4.23223933860787 FALSE ""
50 386 126 -0.875585589802845 2.69683439612856 1.63037419976283 -3.64332518283077 FALSE ""
50 118 127 -1.50708345356358 3.127193846492 2.98821537212238 -3.14781355013574 FALSE ""
50 172 128 -1.61009389341632 3.57418009396259 2.21784902738514 -3.27749845814226 FALSE ""
300 193 129 -1.36084782528052 3.47902951078262 1.59466340345373 -2.77262354485712 FALSE ""
50 175 130 -1.67141605458227 3.74647137600997 2.9753943296604 -4.15293999535422 FALSE ""
100 126 131 0.696894783867917 3.63965527006231 -2.32923976765961 -2.96711572204631 FALSE ""
50 281 132 -1.32660482838613 3.55074829733051 1.49345702005125 -2.06555105941848 FALSE ""
50 395 133 -1.01783667718938 3.62550212573515 0.839524615804423 -2.72237606037349 FALSE ""
300 196 134 -1.25938166794022 3.28966191867302 2.19490133625592 -3.68508638101324 FALSE ""
50 239 135 -1.10715494868132 2.90921715096613 2.31616871086283 -4.17504139582422 FALSE ""
150 203 136 -1.10073432305871 3.33516418025388 1.97493872978298 -4.04691014596179 FALSE ""
100 18 137 -1.18116371096084 2.90423718455001 2.38191843673456 -3.28481687769198 FALSE ""
150 237 138 3.48805258766781 3.50807837036585 -7.59658816463876 -2.94667355114322 FALSE ""
300 304 139 -1.22941760021752 3.3622018043924 2.06313230360041 -3.82236577419529 FALSE ""
300 148 140 -1.35726911603352 3.58369014796114 1.61940471783961 -2.83079993295335 FALSE ""
300 352 141 -1.39617645181776 3.41699006608717 2.53866602267863 -3.80001260556602 FALSE ""
50 146 142 -1.56381727101779 3.54450711054347 3.4063214416326 -4.44655602048259 FALSE ""
300 77 143 -1.44793940691928 3.36852742015735 2.52398804972968 -3.48518436449824 FALSE ""
100 78 144 -1.41466974236227 3.39751140359718 2.69494306832224 -4.0505059514504 FALSE ""
150 399 145 0.446563734382725 3.72525657010597 -1.91717489094458 -3.28140258146837 FALSE ""
150 362 146 -1.18771557650283 3.45015090730072 1.9146935312129 -3.89515049384853 FALSE ""
150 90 147 -1.24339794726113 3.28783299698222 2.03935780430484 -3.09006313357886 FALSE ""
150 372 148 -1.29829917464455 3.32741467667612 1.81432598486025 -2.9751178201419 FALSE ""
200 18 149 -1.62520598317182 3.49846393176297 3.26288426481322 -4.39261451962825 FALSE ""
300 225 150 -1.12232455834964 3.18020636385027 2.09458808474023 -3.95416860999809 FALSE ""
50 267 151 0.768215154566245 3.28073276342787 -2.28166871667825 -3.3186395596225 FALSE ""
150 370 152 -1.43103025889192 3.287074568012 2.18818415609382 -2.78918076178284 FALSE ""
300 160 153 -1.18168873282537 3.20987159907301 2.09837095189817 -3.17372283971221 FALSE ""
50 203 154 -0.839828669896443 3.14272435306019 0.687908099705526 -2.84800782953181 FALSE ""
50 42 155 0.57980126849389 3.31609903168042 -2.14861540097098 -1.97303193635733 FALSE ""
200 192 156 -1.36144746194836 3.4744213394321 1.84828250313278 -3.24204560130044 FALSE ""
200 270 157 -1.40911514070721 3.46023540579308 2.30264328371034 -3.44109243593147 FALSE ""
150 323 158 -1.47288420918673 3.54620274484553 2.3304410557926 -3.4079865580989 FALSE ""
200 155 159 -1.45137617482668 3.41559623473859 3.0531686230397 -4.32805938549454 FALSE ""
50 243 160 -1.09482927157326 3.37452064983461 1.68821857990405 -3.51056922960848 FALSE ""
150 51 161 -1.57317710903808 3.53489538536601 3.29346395204853 -4.36693862308943 FALSE ""
50 225 162 -1.06912580755566 2.83170162508907 1.68254981213347 -2.91275595793687 FALSE ""
50 378 163 -1.29452426387142 3.20751280389912 1.49170543531437 -1.95429844753764 FALSE ""
100 264 164 -1.25486780177166 3.08896369541671 2.20540784874331 -3.36581493635969 FALSE ""
150 130 165 -1.28462298924025 3.24906369867622 2.45700379311295 -3.75659748611135 FALSE ""
200 12 166 -1.16538270224837 3.26850728997505 1.57227381159926 -2.96406642876509 FALSE ""
150 87 167 -1.33501961340104 3.51808269663324 1.79243326081083 -2.54948991066926 FALSE ""
300 76 168 -1.32370898337463 3.54141761396417 1.91960478807639 -3.2075254643428 FALSE ""
100 147 169 -1.5872491195024 3.79068793350072 1.80947010598491 -2.13585789341883 FALSE ""
100 234 170 -1.4275371525686 3.68684710605886 1.68757357710167 -2.37679945304403 FALSE ""
200 250 171 -1.6486266639562 3.77368020958187 2.90184223044652 -4.23105438166032 FALSE ""
50 367 172 1.06160418828322 2.69346909592818 -3.07250454348926 -1.81815644983872 FALSE ""
50 92 173 -1.36261315139808 3.68093159086094 2.26900209396142 -4.15115657008407 FALSE ""
300 380 174 -1.17517002336006 3.38626923903928 1.4167624457875 -2.28677184126279 FALSE ""
200 9 175 0.328409515163102 3.81572703254961 -2.12726176316419 -2.6485874483007 FALSE ""
300 242 176 -1.26505699664538 3.5355770472426 1.38288008751275 -2.27716013994266 FALSE ""
200 295 177 -1.31190670863323 3.35197158040476 2.23194638730878 -3.61718079082291 FALSE ""
100 307 178 -1.00929775363222 3.24128583011133 1.40416939390149 -3.3359636693636 FALSE ""
50 238 179 0.653981981953343 3.647640765694 -2.60884440575662 -2.36623793142646 FALSE ""
150 396 180 0.705003298027303 3.28774526844436 -2.18205941227825 -2.76484919272505 FALSE ""
150 174 181 -1.2547176623464 3.81826737302953 1.30367723628263 -3.40152711461212 FALSE ""
200 2 182 0.351489871394955 4.0591842955171 -2.24996138301427 -2.88581174538134 FALSE ""
200 23 183 -1.20498553057476 3.1523630977788 2.17381874837449 -3.06298944993974 FALSE ""
150 140 184 -1.24674935756424 3.34723398300025 1.81324974980918 -3.47330821103349 FALSE ""
200 211 185 -1.36247428798462 3.54739397463452 2.54020508896248 -4.21408630910972 FALSE ""
50 290 186 -1.21053521811905 3.23283626361285 0.972597117208339 -1.66455501519533 FALSE ""
150 392 187 0.624154956138696 3.5145207096216 -2.10904765803233 -3.32751289066876 FALSE ""
150 361 188 -1.30715787223433 3.3481382065845 1.72747787024359 -2.78544238596601 FALSE ""
50 288 189 -1.09813905003514 3.34591174808185 2.28371756798505 -4.36218615721045 FALSE ""
100 58 190 -1.14477755434462 3.23004911418942 1.80332110054668 -3.13927704521727 FALSE ""
150 340 191 -1.38635699564783 3.49943390315479 2.28827705851736 -3.53444771302843 FALSE ""
100 198 192 0.74456043040282 3.4291658714512 -2.78532154524189 -2.02617653872852 FALSE ""
150 316 193 -1.306049871449 3.17610403607611 2.27536605928671 -3.02719675126256 FALSE ""
100 337 194 -1.35883481570679 3.69304084485678 2.28490163612509 -3.78270287264893 FALSE ""
100 273 195 -1.22590284787014 3.01028898459484 2.90526588716711 -4.00979999424072 FALSE ""
50 298 196 -1.30466454700011 3.44589467645984 2.051146322478 -3.9066838614658 FALSE ""
50 183 197 -1.30243908601916 2.81846814148955 2.99613491280202 -2.76274280857516 FALSE ""
50 134 198 -1.30061178160482 3.03735396732543 2.29637131407441 -2.82721788610194 FALSE ""
200 294 199 -1.4234488302232 3.43120855754444 2.67377995640263 -4.03386209172389 FALSE ""
200 126 200 -1.26821697157985 3.14565646947251 3.11281397416327 -4.37754077538181 FALSE ""
50 33 201 -1.30518565362537 2.97996706973113 3.35742445591643 -6.03332694163047 FALSE ""
50 96 202 0.980888590960261 3.41328811396549 -2.77106404550181 -2.15028580141291 FALSE ""
300 181 203 -1.23126865862571 3.24062319845662 2.28154131601958 -3.76699489054607 FALSE ""
300 399 204 -1.31952660091633 3.43864573606396 2.42910742118253 -4.29296128121462 FALSE ""
50 197 205 -1.10863655666347 2.97525319926127 2.54559518985453 -3.95489285695153 FALSE ""
50 51 206 -1.45062276036833 3.57066023468678 2.12720173031773 -3.05259984530899 FALSE ""
200 25 207 -1.37458850607772 3.42068162098902 2.16007565585589 -3.22149236117093 FALSE ""
150 289 208 -1.42074721550284 3.55520199191265 2.60576056532502 -4.3542596640608 FALSE ""
50 258 209 -1.15790959447559 3.00328311462536 2.6454623508964 -4.02560024207117 FALSE ""
100 289 210 -0.974737712500379 2.95876862823065 1.90134737819947 -3.60775690134544 FALSE ""
100 269 211 -1.03530289620333 2.87563840110363 2.41120538417878 -3.97414475385147 FALSE ""
200 32 212 -1.28915049264475 3.54772179066067 1.60819271199696 -2.77439926479509 FALSE ""
200 28 213 -1.51245604983153 3.61291385781053 2.44686841946141 -3.53658549926308 FALSE ""
100 82 214 -1.2873356587997 3.2329044257695 2.48419862157561 -3.8880642876058 FALSE ""
200 53 215 0.614484813323233 3.48913412741137 -2.35916085429443 -2.41443184599635 FALSE ""
200 93 216 -1.21885636062194 3.42717071535086 1.62192988994986 -2.72190498803451 FALSE ""
300 54 217 -1.30291112365104 3.49541439333061 1.96609906245609 -3.21597840414101 FALSE ""
200 239 218 -1.32190865345266 3.36421812085775 2.27126133768735 -3.65834878610272 FALSE ""
300 141 219 -1.16857277530098 3.29295987844196 1.92873026088623 -3.25578581525768 FALSE ""
300 245 220 0.582731667089847 3.61088334638624 -2.33022431092801 -2.491624301043 FALSE ""
150 17 221 -1.07723318881777 3.17880318816195 1.73127178767815 -3.1453302615238 FALSE ""
150 276 222 -1.30927149415404 3.23118985205581 2.28175306057057 -3.51644250910307 FALSE ""
300 337 223 0.573783175439782 3.34917972575305 -2.24072321544879 -2.0991665596877 FALSE ""
100 308 224 -1.2483870620604 3.12608806875563 2.53582222846312 -3.46764341860337 FALSE ""
300 67 225 -1.20935418054233 3.34061249741295 2.26409159674198 -3.92579449572108 FALSE ""
150 63 226 -1.15693783649208 3.56890265302342 1.05412263930703 -2.67115464277518 FALSE ""
200 318 227 -1.31775258471543 3.29568061908221 2.44817814122589 -3.54228533980532 FALSE ""
150 9 228 -1.2499938460968 3.16809007544425 2.13087328237182 -3.85958286165553 FALSE ""
200 268 229 -1.1980966461997 3.31297486095097 1.79740601139795 -2.87075370750317 FALSE ""
50 286 230 -0.950847790243567 3.18902783040769 1.54409306734947 -4.03056957405557 FALSE ""
200 223 231 -1.17765832023045 3.5356244441014 1.19172496974629 -2.70693528263416 FALSE ""
100 347 232 -1.54967360117565 3.58432391384437 2.33101097986207 -2.69062404854027 FALSE ""
150 385 233 3.57607518266186 3.53718331079672 -8.22674087500595 -2.22915088506146 FALSE ""
50 108 234 -0.997878284938813 3.26303669612339 0.947923071102508 -1.64763434412815 FALSE ""
50 266 235 0.787667741099416 3.40315088589984 -2.36758165008253 -2.87818350684126 FALSE ""
300 166 236 -1.43196806365095 3.54184234034144 2.33931132918375 -3.08644024287216 FALSE ""
100 136 237 -1.41967785048954 3.27397127975734 2.75184849370499 -3.74106566251201 FALSE ""
100 105 238 -1.31001356175525 3.50004246926068 2.24629354189152 -3.79391511530094 FALSE ""
150 382 239 0.552984596979282 3.22255303891789 -2.01166873043629 -2.12826643864017 FALSE ""
50 205 240 -1.36327670786019 3.37442146465163 2.44591175910699 -4.12818861992882 FALSE ""
50 393 241 2.6369674880245 4.28509280548628 -7.0886029643407 -1.62431971522552 FALSE ""
100 390 242 -1.48886678610594 3.44053180625314 2.93232030185997 -3.8846017090711 FALSE ""
300 309 243 -1.3044283097213 3.38322812929261 1.77481318489572 -2.67513860611473 FALSE ""
300 66 244 0.513425805228848 3.54246535746799 -1.94373124452416 -3.13151693446136 FALSE ""
200 213 245 -1.30631133169045 3.51116089891124 2.56333293106109 -4.27479911460158 FALSE ""
50 65 246 0.270505220459419 3.64071230024697 -1.62766187783459 -3.24496800098744 FALSE ""
100 101 247 -0.813031310952207 2.97776925410083 1.54199547545542 -3.36548342395389 FALSE ""
200 118 248 -1.29627584496448 3.66583112830261 1.68351195535493 -3.07426046348609 FALSE ""
300 92 249 -1.32530173231353 3.31190179355915 2.45180234844292 -3.7094096537432 FALSE ""
150 248 250 -1.20616671702966 3.21677379635593 2.22236882657269 -3.5262333712332 FALSE ""
50 154 251 -0.974707223615179 2.69301976641302 2.54740970485746 -4.26283621889316 FALSE ""
50 246 252 -1.21753249500597 3.2464118095549 1.77880132537406 -2.47098025570418 FALSE ""
50 36 253 -1.1850445304887 3.23270192662517 1.70809091179751 -3.01784986684003 FALSE ""
50 81 254 -1.05561978215307 2.93424530552307 1.95267562348418 -3.66524760888055 FALSE ""
150 202 255 -1.214572625516 3.28371468813213 1.91795738209457 -3.44971592366215 FALSE ""
100 314 256 -1.56027715668032 3.73912458608732 1.80155210167826 -2.36617182203191 FALSE ""
100 195 257 -1.20101039538102 3.46343242480405 1.09731625712961 -2.47430376446196 FALSE ""
50 195 258 -1.11702758858312 2.90266258018732 2.748270435828 -4.25684062951865 FALSE ""
100 320 259 -1.33580745855442 3.32585893954301 2.70793757070501 -3.99716945962671 FALSE ""
150 84 260 -1.43579096452423 3.11116908387457 3.01893806923654 -3.753256383297 FALSE ""
200 327 261 0.588233516724738 3.38427365831826 -2.28718144785435 -2.45921294627834 FALSE ""
150 159 262 -0.897466533006942 3.19654397831457 1.81219930430481 -4.1866142469625 FALSE ""
200 359 263 -1.37389206456765 3.43333010109182 2.05092028952095 -3.0696479911872 FALSE ""
300 393 264 -1.26133284499503 3.34138034727211 2.37070944164769 -4.15418732645864 FALSE ""
150 352 265 -1.59946325335397 3.55104772381645 3.22878223616572 -4.23343321330798 FALSE ""
100 284 266 -1.26124594611448 3.48093546739572 2.03270688244767 -3.42885117811012 FALSE ""
300 65 267 -1.16358673655921 3.3194677167497 1.57077901082049 -2.72817790598097 FALSE ""
100 149 268 -1.19250490556965 2.96197934796807 2.26459884360621 -3.47801192185807 FALSE ""
150 321 269 -1.23008852243306 3.21222255205524 2.51836520685232 -3.65010439459 FALSE ""
300 351 270 -1.07977133403291 3.38754496476902 1.60815038570065 -3.20737492615174 FALSE ""
300 338 271 -1.42283079104273 3.46503551454133 2.29625731613657 -3.46656788139273 FALSE ""
150 71 272 -1.40666066696987 3.17103161243383 2.95042653426352 -3.96542953875477 FALSE ""
200 271 273 -1.38281726314991 3.37467605401735 2.2761120513507 -3.51717217547671 FALSE ""
150 320 274 -1.4296353276998 3.53633846617819 2.12660951812557 -3.71405038507768 FALSE ""
150 355 275 -1.23258071009206 3.35316513877668 2.03055483353328 -3.46241610922868 FALSE ""
100 19 276 -1.26205002021207 3.14554147152427 2.30392653601485 -3.88789731016258 FALSE ""
200 206 277 -1.06728537548888 3.19395180242461 1.67315883433739 -3.30967347925284 FALSE ""
300 123 278 0.705098725531951 3.43516890495984 -1.98518081869366 -3.52918212267648 FALSE ""
50 253 279 -1.19971902695747 3.3690121319851 1.97690226471804 -3.75832570033015 FALSE ""
150 10 280 -1.32393804501088 3.51221595877875 1.98884912998562 -3.50728766365845 FALSE ""
300 89 281 -1.21184288927315 3.35789811158478 1.52419048208145 -2.67342283095832 FALSE ""
200 105 282 -1.20462524992001 3.45310883916771 1.76857628495743 -3.38023137634424 FALSE ""
50 339 283 -1.25834925848147 3.77031214113658 1.29659406080821 -3.37898264720729 FALSE ""
300 95 284 0.278192729975571 3.58108664513805 -1.55527388495372 -3.06582250468388 FALSE ""
300 313 285 -1.38957803167202 3.48709336534183 2.28511498172662 -3.79950215329628 FALSE ""
300 185 286 -1.26902069183843 3.62455030606549 1.52774534666309 -3.12666540923116 FALSE ""
100 202 287 -1.29949766580036 3.11128828421998 2.60847719233739 -3.44283857998114 FALSE ""
50 158 288 -1.56708637887924 3.5272046884462 3.21201914847403 -4.90961211366401 FALSE ""
50 242 289 -1.53754468865068 3.3805241662273 4.19869103542163 -5.18692563576556 FALSE ""
300 129 290 -1.40321630880084 3.57019682604626 1.99046928244999 -3.06547866409932 FALSE ""
100 209 291 -1.34713828323627 3.13817002655287 3.10763416961813 -4.21793302875422 FALSE ""
50 192 292 -1.38989684568503 3.42357746785555 2.12783588184489 -3.94137975028728 FALSE ""
300 233 293 -1.25156128716936 3.35775026247949 2.07516975458049 -3.51918741123508 FALSE ""
200 282 294 -1.33884779065159 3.38780323472482 2.34074313228188 -3.77596520393459 FALSE ""
100 324 295 -1.30130254439181 3.37258470801089 2.19778783694727 -3.46474745156451 FALSE ""
