"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
50 163 1 0.481903260735571 3.64521057895567 -1.85993087261151 -2.44837643969323 FALSE ""
200 863 2 -1.19062813534275 3.18496205156518 2.02163605569588 -3.282668916132 FALSE ""
100 594 3 -1.44958825641736 3.68147723563081 2.19031886126934 -3.53971646272621 FALSE ""
300 166 4 -1.38203313542916 3.43730389745555 2.47439694488145 -3.99126947454371 FALSE ""
100 764 5 -1.30769011523046 3.10499485148436 2.42513172956019 -2.62787677294221 FALSE ""
100 1178 6 -1.58882659317212 3.75484288534171 2.77944774793976 -4.941723718102 FALSE ""
300 412 7 -1.2198788671675 3.58039738268778 1.82578642220131 -3.94726441425868 FALSE ""
100 197 8 -1.25204151824757 3.0378858757605 2.53943813155928 -3.3909977030169 FALSE ""
300 1003 9 0.595213824562982 3.46483517684398 -2.16081982757765 -2.65820803265848 FALSE ""
150 393 10 -1.39140926026618 3.37051747642463 2.45659726761234 -3.6159378738873 FALSE ""
50 681 11 -1.17496875806246 3.55537679412126 1.34076403804936 -3.81002513983839 FALSE ""
300 236 12 -1.20047695532947 3.09536453269529 2.37278000557144 -3.83368675288884 FALSE ""
200 338 13 0.713272952385278 3.60752424734104 -2.5958056185932 -2.43536969481363 FALSE ""
50 518 14 0.315032623552065 3.72169441946141 -1.59347275486315 -3.82191389562641 FALSE ""
50 551 15 -1.20506761553339 3.32122897063106 2.56892096423425 -4.42187380667382 FALSE ""
100 1011 16 -0.892470291719781 3.23207935748558 0.315176786397552 -2.03025415869855 FALSE ""
150 207 17 -1.27752637642641 3.48796816130999 1.84550101161632 -3.17537586967929 FALSE ""
300 162 18 -1.38122701293747 3.4052539278267 2.70000816175827 -3.83696581232206 FALSE ""
100 86 19 -1.3133583284149 3.27214054545658 2.13321099973654 -3.15950855926519 FALSE ""
300 1042 20 -1.44060120356036 3.28360643726176 2.96854351893677 -4.07602030887097 FALSE ""
300 676 21 -1.22116514126095 3.33272380550448 2.24380772189014 -4.01277117678018 FALSE ""
200 634 22 -1.38493250736363 3.0841386380222 2.98680202791662 -3.77890018596458 FALSE ""
50 319 23 -1.33635624723514 3.27293534329602 1.69183792874351 -1.59336935076547 FALSE ""
50 1299 24 2.24123798422334 2.45382653775265 -4.08817958647667 -3.32856829939567 FALSE ""
300 179 25 -1.25833551431967 3.33763724230354 2.0288443239494 -3.32829153720586 FALSE ""
150 1116 26 -1.23649905592274 3.37811935219909 2.21718879515393 -3.86914526819258 FALSE ""
100 187 27 -1.28586752217077 3.1304290619023 2.56194687239342 -3.21792318597189 FALSE ""
300 1480 28 0.402068047943258 3.82358834822296 -1.96600218137281 -3.19279873579826 FALSE ""
200 789 29 0.252415553837285 3.86313218488409 -2.005720378075 -2.89493893153558 FALSE ""
50 883 30 -1.4924293425172 2.98412059805657 3.43355429596041 -4.88599561971436 FALSE ""
150 1245 31 -1.21365020172947 3.20150068025842 2.36495953273397 -4.05972873517982 FALSE ""
200 1452 32 -1.36142151456238 3.35327825260357 2.7600759586072 -4.43297796703357 FALSE ""
150 120 33 -1.31549259973447 3.56442535704603 1.70241994327813 -3.34147819186992 FALSE ""
300 1396 34 -1.31851504025268 3.54885551112175 1.7656596102936 -3.00809709849854 FALSE ""
150 1299 35 -1.44788498810228 3.59996578260904 2.47361446258381 -3.61535117124201 FALSE ""
100 56 36 -1.4594266244686 3.50806506511189 3.17682380487015 -4.42802138364157 FALSE ""
100 754 37 -1.50974118651406 3.79559878439854 1.92735367301285 -2.68292872889767 FALSE ""
300 1165 38 -1.2404058657832 3.43083258604128 1.73686101619224 -2.97401249714143 FALSE ""
50 90 39 0.852004518078027 3.32953827697795 -2.06838328751803 -3.53862539972347 FALSE ""
300 1235 40 -1.2699821203987 3.30504393372094 2.1356608398279 -3.25413700284019 FALSE ""
50 580 41 0.873901657713959 3.27043750718279 -1.88033406183834 -3.41925392513093 FALSE ""
300 673 42 -1.32907065848445 3.39479547030869 2.30023178910644 -3.49661654804507 FALSE ""
200 860 43 -1.45760371003691 3.65067472709263 2.21919456942371 -3.3201924890205 FALSE ""
100 867 44 2.65704005873238 3.49333576872231 -6.11343705381048 -3.071068605547 FALSE ""
50 124 45 -1.63249125178632 3.3722600613274 3.40612538732414 -4.6442011502091 FALSE ""
150 1100 46 -1.13938402034286 3.32849809229421 1.65291318763754 -3.09204016808744 FALSE ""
300 493 47 -1.46191230596792 3.44912783324664 2.55337949955155 -3.65259071518418 FALSE ""
150 1273 48 -1.16080984733899 3.04659836019383 2.35251361277305 -3.71815117651456 FALSE ""
200 969 49 -1.45519816180772 3.3762760743911 2.90025827935212 -3.56458686705997 FALSE ""
150 896 50 0.689179838225077 3.37154346074809 -2.16253243399203 -3.25441295946486 FALSE ""
200 1047 51 0.537792339261055 3.18381939451884 -1.82233673897908 -2.53171736733449 FALSE ""
50 296 52 -1.88406199141163 3.89738202298185 4.45653314530221 -6.33299560865916 FALSE ""
50 1196 53 -1.56439730965466 3.55108885220121 2.4295659336493 -3.74822203281216 FALSE ""
200 343 54 -1.26280670686952 3.30946874912517 2.00563672592992 -2.97738096732392 FALSE ""
200 127 55 -1.38456129895422 3.3065490308788 2.57109477588862 -3.58014269525167 FALSE ""
50 1266 56 -1.34294674290306 3.31946064951308 2.01969459569424 -3.13482120791177 FALSE ""
50 786 57 -1.64255552893101 3.69772088924366 2.62999865984861 -3.72783388277682 FALSE ""
200 608 58 -1.82053342897558 3.72472729184715 3.36124189515193 -4.32583783433161 FALSE ""
