"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
50 1 0.5 750 1 0.57635247661518 1.08766160245011 FALSE ""
100 1.5 0.5 275 2 1.29204385544258 0.676942360344664 FALSE ""
50 1.5 0.5 594 3 1.0639019070319 1.5288989397214 FALSE ""
100 1.5 1.5 855 4 1.40724951206444 2.27182357677597 FALSE ""
200 1.5 0.5 302 5 2.12569522370381 0.246688754839517 FALSE ""
100 0.5 0.5 913 6 0.754748939300996 0.145185749671093 FALSE ""
150 1 1.5 501 7 1.04606172658829 1.23169403891414 FALSE ""
100 1 0.5 625 8 0.885774973070995 0.643673946582931 FALSE ""
300 0.5 1.5 635 9 0.506924162556043 1.68718987941315 FALSE ""
200 1 1.5 99 10 0.940192757730644 1.54216049303259 FALSE ""
200 1.5 1.5 990 11 1.24719896952493 2.08079850980605 FALSE ""
300 1.5 0.5 955 12 1.64858023402248 0.41572622990257 FALSE ""
100 1 0.5 705 13 0.88489496414241 0.698434857747951 FALSE ""
300 1.5 1.5 366 14 1.34832282440633 1.81509197014085 FALSE ""
100 0.5 0.5 476 15 0.419575061008582 0.729324630247685 FALSE ""
300 1 0.5 124 16 1.13542495399295 0.319876658024111 FALSE ""
150 1.5 0.5 247 17 1.26393313103132 0.85910474171799 FALSE ""
200 1 1.5 821 18 1.00605183540813 1.32835548629823 FALSE ""
50 1.5 1.5 430 19 1.09788594377558 2.8275348118002 FALSE ""
300 0.5 0.5 384 20 0.491732846518999 0.502816692678043 FALSE ""
300 1.5 0.5 107 21 1.66711370430268 0.409177164758256 FALSE ""
50 0.5 0.5 579 22 0.533460650453278 1.22923861661508 FALSE ""
300 1 1.5 670 23 0.909642025376301 1.69611947075239 FALSE ""
150 1.5 1.5 903 24 1.28739417338486 2.19277616876546 FALSE ""
150 1 1.5 468 25 0.931478365846359 2.00675159357651 FALSE ""
200 0.5 0.5 886 26 0.416123603193688 0.847412184162773 FALSE ""
300 1.5 0.5 187 27 1.27498044466839 0.72988459898341 FALSE ""
150 1 0.5 776 28 1.04989309345634 0.403359643691273 FALSE ""
150 0.5 0.5 116 29 0.4979685085584 0.428586142127196 FALSE ""
100 0.5 1.5 329 30 0.452178546515396 2.11062345180988 FALSE ""
50 1.5 0.5 125 31 1.46797056398513 0.410252112500977 FALSE ""
100 1.5 0.5 350 32 1.18246746859677 0.813175554612828 FALSE ""
200 1.5 0.5 848 33 1.49016968516732 0.55889166080733 FALSE ""
300 1.5 0.5 15 34 1.4554908767205 0.486415319831197 FALSE ""
200 1 1.5 394 35 1.07796009102517 1.05491124537639 FALSE ""
300 1 0.5 836 36 0.813358326313225 0.780787873884696 FALSE ""
150 0.5 0.5 196 37 0.329154334212332 1.51958121981377 FALSE ""
200 0.5 0.5 772 38 0.545395511436547 0.402134275154435 FALSE ""
150 0.5 1.5 289 39 0.621889797913208 0.717469250862791 FALSE ""
100 1.5 1.5 347 40 1.47765967502769 1.59446415633569 FALSE ""
300 0.5 1.5 971 41 0.537230295645086 1.08416815372251 FALSE ""
300 1.5 0.5 711 42 1.46758176271452 0.553759550843047 FALSE ""
150 0.5 0.5 904 43 0.456701937403236 0.72679527565659 FALSE ""
300 1.5 0.5 919 44 1.54905361676881 0.457376890510191 FALSE ""
100 1 1.5 469 45 1.16945229856967 1.24055731904757 FALSE ""
