"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
150 0.5 1.5 77 1 0.434636517527617 1.78439920060637 FALSE ""
50 0.5 0.5 97 2 0.495600424551293 0.656424055321788 FALSE ""
300 0.5 0.5 89 3 0.484936381336817 0.547740279162823 FALSE ""
300 0.5 1.5 54 4 0.538699690330941 1.39065495370167 FALSE ""
150 1.5 1.5 53 5 1.75490502183791 1.09614158607457 FALSE ""
100 0.5 1.5 45 6 0.530231739014086 1.30848917826631 FALSE ""
50 0.5 0.5 49 7 0.339157703918387 0.959894368957338 FALSE ""
100 1.5 0.5 9 8 1.42765161260907 0.746377718583512 FALSE ""
100 1.5 0.5 28 9 1.52646953996117 0.571823222528864 FALSE ""
100 1 0.5 65 10 0.836475239305462 0.59653633025805 FALSE ""
150 1.5 0.5 71 11 1.28517607324335 0.663910247418094 FALSE ""
100 1.5 0.5 27 12 1.92755611867835 0.341605483682236 FALSE ""
150 0.5 1.5 87 13 0.507582288007556 1.34040681289819 FALSE ""
300 0.5 0.5 60 14 0.405647369983478 0.873729722296936 FALSE ""
200 1.5 0.5 17 15 1.57418032598321 0.56470706575044 FALSE ""
300 0.5 0.5 41 16 0.427329066739895 0.775108304876035 FALSE ""
100 1.5 1.5 93 17 1.38094993504233 2.28366683835371 FALSE ""
200 0.5 1.5 64 18 0.575071666058582 1.00449535999027 FALSE ""
200 1 0.5 10 19 1.22429066318828 0.284593709131985 FALSE ""
100 0.5 0.5 86 20 0.465988832231733 0.570970856491713 FALSE ""
100 0.5 0.5 55 21 0.523897807348184 0.387942337093566 FALSE ""
150 0.5 0.5 100 22 0.620985936406347 0.210147816142585 FALSE ""
150 1.5 0.5 52 23 1.56927189870793 0.59540131369025 FALSE ""
300 1 1.5 90 24 0.992053514315746 1.51992634325895 FALSE ""
200 1.5 0.5 3 25 1.47700385418944 0.540467441530501 FALSE ""
200 0.5 0.5 46 26 0.534256533174693 0.4671632524793 FALSE ""
50 0.5 1.5 31 27 0.336953969515622 3.09363581462027 FALSE ""
50 0.5 1.5 20 28 0.435215972685892 2.51246802915855 FALSE ""
300 0.5 0.5 84 29 0.405647369983478 0.873729722296936 FALSE ""
200 1 1.5 10 30 0.910561845149752 1.89906589249325 FALSE ""
100 0.5 0.5 19 31 0.720811946284846 0.159686979464757 FALSE ""
300 1.5 1.5 92 32 1.69636367834902 1.06462839989144 FALSE ""
300 1.5 1.5 56 33 1.38479452433398 1.74394844381887 FALSE ""
300 1 1.5 39 34 0.765933584792159 2.6131123807341 FALSE ""
300 0.5 0.5 90 35 0.439022252619294 0.690737059620416 FALSE ""
100 0.5 1.5 24 36 0.515621821230733 1.49882239827771 FALSE ""
100 1.5 0.5 87 37 1.31084233955438 0.674225614612899 FALSE ""
150 1 0.5 98 38 1.50005219366603 0.252283490830357 FALSE ""
200 0.5 0.5 33 39 0.491229993005781 0.569501861340329 FALSE ""
150 1 0.5 31 40 0.960247283838649 0.607599981065854 FALSE ""
100 1.5 1.5 63 41 1.30833188472321 3.2205549965126 FALSE ""
100 0.5 0.5 45 42 0.248548312790078 3.37651415547033 FALSE ""
100 0.5 1.5 99 43 0.526820862369959 1.53814573343042 FALSE ""
200 0.5 0.5 53 44 0.524731158585105 0.401319097094016 FALSE ""
200 0.5 1.5 80 45 0.425428314957174 2.0989167096894 FALSE ""
150 0.5 0.5 26 46 0.552115809863749 0.38000419828571 FALSE ""
50 1 0.5 85 47 1.18612222428097 0.239902257126455 FALSE ""
200 1.5 0.5 77 48 1.28232551844949 0.609532939609754 FALSE ""
100 1 0.5 5 49 1.04685123501897 0.544227331129433 FALSE ""
300 0.5 0.5 82 50 0.422511816980115 0.612608775226176 FALSE ""
100 0.5 0.5 25 51 0.400477453256746 0.621450088156249 FALSE ""
200 1.5 0.5 62 52 1.6054043240735 0.519157933665824 FALSE ""
300 0.5 0.5 36 53 0.499849052220273 0.453881999055131 FALSE ""
200 1.5 0.5 71 54 1.33709290889938 0.571925612087938 FALSE ""
300 1.5 0.5 31 55 1.55758577191641 0.577273995934699 FALSE ""
100 0.5 0.5 82 56 0.590244711763031 0.473444240658492 FALSE ""
50 1.5 1.5 62 57 1.54839181149036 1.13600256634838 FALSE ""
150 0.5 1.5 54 58 0.479658996475451 1.84655669655376 FALSE ""
200 1 0.5 38 59 0.894544687795506 0.606947799900571 FALSE ""
300 1 1.5 78 60 1.05300751364654 1.29046271945658 FALSE ""
100 1.5 0.5 55 61 1.29331422341646 0.542853372447262 FALSE ""
150 1 1.5 64 62 0.99000141347784 1.47001127918695 FALSE ""
50 1 1.5 74 63 1.61483683214573 0.499591949805974 FALSE ""
300 1 0.5 1 64 0.966421516116749 0.560333510023826 FALSE ""
100 0.5 0.5 41 65 0.571543740417652 0.469423607378827 FALSE ""
150 0.5 1.5 46 66 0.464614285943258 2.23667746199967 FALSE ""
50 0.5 1.5 13 67 0.626701827469991 0.948516158130428 FALSE ""
100 0.5 0.5 2 68 0.45763287872191 0.452094224938989 FALSE ""
50 0.5 0.5 95 69 0.324520892531802 1.22610948808372 FALSE ""
200 0.5 0.5 77 70 0.602262552564417 0.326313794462627 FALSE ""
200 1 1.5 57 71 1.02635342495973 1.55960282529181 FALSE ""
200 0.5 1.5 90 72 0.500724848138256 1.02902837051698 FALSE ""
300 0.5 0.5 59 73 0.515898203270366 0.434477267988345 FALSE ""
100 1.5 0.5 52 74 1.1118187106194 0.976500864283087 FALSE ""
200 1 1.5 87 75 1.17197223897314 1.17142369376373 FALSE ""
100 1.5 1.5 46 76 1.81471177420879 1.10002686867133 FALSE ""
100 1 1.5 38 77 0.905922020126137 2.77138807488319 FALSE ""
150 0.5 1.5 93 78 0.502380942984257 1.575962208051 FALSE ""
300 1.5 0.5 18 79 1.3568452945457 0.571597104952827 FALSE ""
300 0.5 1.5 9 80 0.530254453525537 1.40675164374412 FALSE ""
300 0.5 1.5 43 81 0.562253957638646 1.23230743251913 FALSE ""
150 1.5 0.5 96 82 1.49228937641888 0.510802076136607 FALSE ""
50 1.5 0.5 12 83 1.15354085779219 0.396126908849647 FALSE ""
150 1 1.5 50 84 1.05360458772155 1.21428996096216 FALSE ""
50 0.5 0.5 37 85 0.392463239103654 0.920773429651517 FALSE ""
300 0.5 1.5 32 86 0.46826044159438 1.55086758569629 FALSE ""
200 1.5 0.5 49 87 1.54479303342761 0.47054595750639 FALSE ""
50 1 1.5 15 88 0.877643634126387 2.41621539829864 FALSE ""
200 1.5 0.5 87 89 1.14574310578512 0.665283538481362 FALSE ""
200 1 1.5 34 90 1.18915158456262 1.04262106514958 FALSE ""
