"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
500 1.5 0.5 568 1 1.43181061515517 0.500438973827584 FALSE ""
200 1.5 1.5 639 2 1.29196777835619 2.08388660312179 FALSE ""
500 1.5 0.5 481 3 1.42098385791392 0.61258149739132 FALSE ""
300 0.5 0.5 737 4 0.619689667459007 0.268685208119085 FALSE ""
300 0.5 1.5 422 5 0.564621032118505 1.11465553675679 FALSE ""
900 1.5 1.5 612 6 1.42049248078601 1.78877060582019 FALSE ""
100 0.5 0.5 301 7 0.349011380608009 1.67559558440688 FALSE ""
1000 0.5 0.5 301 8 0.485318157822648 0.524854869916659 FALSE ""
600 1.5 1.5 788 9 1.26187829906092 2.36563999128443 FALSE ""
500 1 0.5 275 10 0.956285513090663 0.553455875934012 FALSE ""
800 1 0.5 140 11 0.920563359165583 0.547466408825019 FALSE ""
600 0.5 0.5 409 12 0.466669050223786 0.555048329451499 FALSE ""
1000 0.5 0.5 984 13 0.466574758460752 0.583300416035698 FALSE ""
300 1.5 0.5 802 14 1.2921316894432 0.613840911076958 FALSE ""
1000 1 0.5 296 15 1.0664307190617 0.448725165191938 FALSE ""
800 1.5 0.5 510 16 1.50214937770136 0.458344565272793 FALSE ""
900 1.5 0.5 393 17 1.46415811717758 0.608264609132722 FALSE ""
600 1 0.5 880 18 0.805484105692283 0.769738625641291 FALSE ""
400 1.5 0.5 399 19 1.31187096835469 0.622826340478572 FALSE ""
700 1.5 1.5 875 20 1.49882044225286 1.44602053799527 FALSE ""
1000 1 0.5 922 21 0.925401854596524 0.616839408808136 FALSE ""
700 1 1.5 721 22 1.09575995945486 1.22591398713966 FALSE ""
800 1 0.5 263 23 0.989757790789932 0.475380616012625 FALSE ""
500 1 0.5 397 24 0.938907114926761 0.57335189453378 FALSE ""
200 0.5 0.5 865 25 0.423310064976093 0.72584640678778 FALSE ""
300 0.5 1.5 252 26 0.583548184980143 0.979495355198922 FALSE ""
300 1 0.5 123 27 1.4606727836033 0.21298948971665 FALSE ""
1000 1 1.5 929 28 1.07808310003347 1.24575443275889 FALSE ""
1000 1.5 0.5 952 29 1.68111845041798 0.39259677488289 FALSE ""
800 0.5 0.5 162 30 0.521889113894225 0.422266523854395 FALSE ""
400 1.5 1.5 298 31 1.49583846633465 1.46125913376478 FALSE ""
200 0.5 1.5 775 32 0.562117176252845 0.82827312525593 FALSE ""
400 1 1.5 453 33 1.00402265122856 1.54435331886602 FALSE ""
