"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
150 0.5 0.5 1501 1 0.600410258445881 0.357045536910829 FALSE ""
50 1.5 1.5 1275 2 1.26584170021544 2.58843358836344 FALSE ""
50 1 0.5 1886 3 0.645104155962409 1.32555517540856 FALSE ""
100 1.5 1.5 577 4 1.29443947641023 1.60684361848156 FALSE ""
50 1 1.5 1414 5 1.0362454044069 0.952861227887012 FALSE ""
300 1 0.5 1747 6 1.04853742456528 0.464739294297161 FALSE ""
300 1.5 1.5 492 7 1.53766921333607 1.47986561995953 FALSE ""
200 1 1.5 1760 8 1.01218883323046 1.48910052236078 FALSE ""
200 1.5 1.5 1701 9 1.51428462625338 1.51827107732706 FALSE ""
300 1.5 0.5 800 10 1.5629872221141 0.44385956709348 FALSE ""
100 1.5 1.5 1505 11 1.92031189478665 0.768333694564293 FALSE ""
100 1.5 1.5 1747 12 1.67546304608566 1.06538558747763 FALSE ""
50 1 0.5 484 13 1.20420021628748 0.367671308402346 FALSE ""
300 1.5 1.5 170 14 1.44814913147208 1.89934729951077 FALSE ""
200 0.5 0.5 1968 15 0.437712932940587 0.462993504509848 FALSE ""
100 1.5 1.5 300 16 1.2773611345823 2.37302382355771 FALSE ""
50 1.5 0.5 1833 17 0.98154567267644 0.837964493547579 FALSE ""
100 0.5 0.5 693 18 0.607790587416069 0.383839232003222 FALSE ""
300 1.5 0.5 1419 19 1.5084351995363 0.492907877772076 FALSE ""
150 1.5 0.5 552 20 1.35882674624282 0.796730370260307 FALSE ""
50 1.5 1.5 973 21 1.47299111307986 1.65975083836616 FALSE ""
200 0.5 0.5 608 22 0.365752968817804 0.852007234515375 FALSE ""
100 1.5 1.5 971 23 1.7628947710637 1.55432201275854 FALSE ""
200 0.5 0.5 873 24 0.426019486286181 0.652875593194891 FALSE ""
300 1.5 0.5 862 25 1.38257411546647 0.515986550276432 FALSE ""
300 0.5 1.5 179 26 0.53082306217654 1.45549846843812 FALSE ""
150 1 1.5 1893 27 0.941441906652712 1.51508840222293 FALSE ""
100 1 0.5 1963 28 1.25767965875336 0.29201882845039 FALSE ""
50 0.5 0.5 92 29 0.623446092214223 0.125925960347186 FALSE ""
300 0.5 1.5 1477 30 0.432906545131953 1.74045221997087 FALSE ""
200 1 0.5 204 31 0.929709344048835 0.512848508133163 FALSE ""
150 1.5 1.5 804 32 1.51003794436176 1.51821809769773 FALSE ""
100 1 1.5 397 33 0.880088328983758 1.99920246129342 FALSE ""
50 1 0.5 1415 34 1.25742117900079 0.383569402414199 FALSE ""
200 1.5 1.5 576 35 1.49763048425073 1.6097467867838 FALSE ""
300 1 0.5 679 36 1.24267002828881 0.334435367168759 FALSE ""
100 1.5 1.5 1807 37 1.85530954237125 0.916704981725781 FALSE ""
