"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
400 366 1 -1.13785644797117 3.41891493273663 1.69327968059137 -3.2402419687677 FALSE ""
1000 195 2 -1.33787201699842 3.47360991917935 2.01522977406939 -3.43981281872771 FALSE ""
400 718 3 -1.4094479710288 3.29171696220675 2.58627179587224 -3.22946178958826 FALSE ""
1000 524 4 -1.28115432267868 3.43770928097326 1.90209803817594 -3.31802004130209 FALSE ""
800 251 5 -1.30671927478211 3.37678965744454 2.19566402064181 -3.53323854672551 FALSE ""
500 679 6 -1.49992400173735 3.44663723767306 2.77871837960813 -3.5916567196791 FALSE ""
900 65 7 -1.38773221453525 3.48970257944618 2.2392037849248 -3.51548917778912 FALSE ""
800 340 8 -1.33747829049011 3.48137477948889 1.80706781791889 -2.85233883082279 FALSE ""
800 266 9 -1.25003973987809 3.44792835925648 1.84298763054482 -3.47832359952652 FALSE ""
400 290 10 -1.22585706541702 3.26961585323956 2.01018092685617 -3.24142265020699 FALSE ""
400 190 11 -1.18439546832378 3.33842673179758 1.73564402873178 -2.99898247654774 FALSE ""
600 745 12 -1.37227808317157 3.32065939291991 2.63369256140587 -3.78417578285019 FALSE ""
700 499 13 -1.35572719553106 3.34139640016984 2.28819057446701 -3.1747718676542 FALSE ""
800 210 14 -1.50703840386642 3.58024339404638 2.49275397242074 -3.72687723103804 FALSE ""
500 716 15 -1.32140837491282 3.29868092201044 2.22894614281192 -3.37610130479073 FALSE ""
400 559 16 -1.11493788779251 3.2304537809906 1.97228093591958 -3.46002306288818 FALSE ""
500 571 17 -1.3748264782779 3.4787141719063 2.14005035945916 -3.40839945252349 FALSE ""
600 473 18 -1.27855335762997 3.31953935524539 2.37473142167012 -3.66129331413262 FALSE ""
500 786 19 -1.30110025637682 3.36361679059429 2.20059174098188 -3.57331278926619 FALSE ""
400 57 20 -1.14226983207092 3.51158669822007 1.52373307790108 -3.22208850843702 FALSE ""
600 738 21 -1.26016636870977 3.34225496932917 2.25509993634156 -3.50759922111769 FALSE ""
900 299 22 -1.26120686728592 3.36934313848625 2.17496189870715 -3.4325236120122 FALSE ""
500 797 23 -1.39084388807558 3.52344331363795 1.96335341556279 -3.1577797052166 FALSE ""
700 230 24 -1.07808856838084 3.2231638640416 1.51448433965628 -2.82586697656437 FALSE ""
400 451 25 -1.21615561557122 3.44696794564804 1.67219192707917 -3.24190373687573 FALSE ""
400 475 26 -1.45362655323688 3.46904875079308 2.67199175888058 -4.13776678357142 FALSE ""
900 341 27 -1.36687815387613 3.33185861840269 2.44528937889749 -3.49686813419628 FALSE ""
900 46 28 -1.26822540829499 3.39367084785427 1.88970606550189 -2.99695351334258 FALSE ""
700 794 29 -1.34115857323138 3.54597542145207 1.86220123365828 -3.21298572914089 FALSE ""
400 785 30 -1.3588177289299 3.38085707148543 2.22890227593653 -3.30633395411665 FALSE ""
500 135 31 0.540019527257109 3.4989038405374 -2.05277384396668 -2.78338738846932 FALSE ""
800 289 32 -1.32395628261875 3.37315748117049 2.36155187125789 -3.53088025918266 FALSE ""
1000 563 33 -1.30323512510584 3.46371917066297 2.08391466637984 -3.47434903077567 FALSE ""
400 485 34 -1.33076312495413 3.53100779756277 2.01621139377958 -3.39994377953187 FALSE ""
700 714 35 -1.41244859832332 3.49533503117851 2.41480918701742 -3.69085499783181 FALSE ""
900 377 36 -1.36775432156855 3.46263887976951 2.38443715030779 -3.69427404366974 FALSE ""
800 281 37 -1.44327999801619 3.51058859168595 2.45645665950756 -3.62287384229361 FALSE ""
400 545 38 -1.39467011094623 3.50296090282589 2.01027443890357 -2.97143802393998 FALSE ""
800 78 39 -1.1877514517317 3.29014549215937 1.98959796332062 -3.39101522450883 FALSE ""
900 636 40 -1.23649031977528 3.36271547416 1.98452878312918 -3.33826602152997 FALSE ""
500 286 41 -1.23377434374658 3.44926655673605 1.606080903031 -2.94689953975295 FALSE ""
700 524 42 -1.3399988203217 3.53519657130014 1.91136014849938 -3.14871948628316 FALSE ""
700 174 43 -1.26256319819081 3.30681200182592 1.99818455429807 -3.18908305136423 FALSE ""
800 473 44 -1.26923693411192 3.48479875055301 1.87976106901415 -3.45802752556914 FALSE ""
1000 398 45 -1.26180006755195 3.39886677069063 2.00073597410202 -3.45077911281443 FALSE ""
600 198 46 -1.24622272103648 3.48051687324311 1.79215364168042 -3.10122670682223 FALSE ""
600 197 47 -1.30904082922294 3.34628252457379 2.42124763472268 -3.77948231099817 FALSE ""
600 463 48 -1.38020982773044 3.44070257170413 2.10596636020444 -3.33778397337771 FALSE ""
700 14 49 -1.26875373084699 3.30834445489533 1.97066740403372 -3.17405319965235 FALSE ""
900 271 50 -1.27925078415971 3.3263519700108 2.18278252648679 -3.64089293919482 FALSE ""
500 553 51 -1.22397752215726 3.2876902098346 2.03554243726204 -3.37457683363306 FALSE ""
1000 29 52 -1.14925554851614 3.33291913503469 1.97279461304762 -3.64309082861153 FALSE ""
600 245 53 -1.20750083455369 3.25838535679126 1.98235650968186 -3.41907044656865 FALSE ""
1000 345 54 -1.2738082592705 3.49710261729705 1.94204938274778 -3.45244820487196 FALSE ""
500 573 55 -1.24663921380098 3.38604342297517 1.81118730179353 -3.16468716222939 FALSE ""
500 715 56 -1.20011268907578 3.38803948925308 1.69739523845561 -3.16165423467299 FALSE ""
400 732 57 -1.21891384799109 3.2247424116328 1.94042277231226 -2.96781838820035 FALSE ""
800 506 58 -1.18691585822973 3.32863471962413 1.90800922221782 -3.52583836417665 FALSE ""
800 63 59 -1.27096808546379 3.4311277777625 1.93588857853211 -3.44296819354956 FALSE ""
400 432 60 -1.24812692648918 3.26199980074505 2.24700660030596 -3.42237481833017 FALSE ""
500 434 61 -1.45922615683413 3.55486468747464 2.58923234045833 -3.84031951180939 FALSE ""
900 727 62 -1.23873428897856 3.29515559886012 2.26258129343697 -3.7213168784165 FALSE ""
900 792 63 -1.28216299113505 3.35510355501834 1.95779790158408 -3.24869322733953 FALSE ""
700 643 64 -1.36294842268638 3.46765319329841 2.47679606377124 -3.92585470089357 FALSE ""
1000 293 65 -1.32255096603489 3.41763392629809 2.21901899923452 -3.68253629493419 FALSE ""
800 283 66 -1.32708064853776 3.2560811381215 2.51958247764063 -3.81094057332488 FALSE ""
800 294 67 -1.40502473326332 3.29831557210738 2.71084333553863 -3.75954444202423 FALSE ""
800 669 68 -1.21848405392116 3.26111423997245 2.089074952908 -3.46634467643135 FALSE ""
900 754 69 -1.36048746276126 3.57535296552687 2.03520785246517 -3.49227415888485 FALSE ""
600 450 70 -1.19170038317167 3.43684925595065 1.77551792035593 -3.21150952409625 FALSE ""
500 335 71 -1.30728037840756 3.47882973781467 1.99693675353678 -3.22884558075636 FALSE ""
800 191 72 -1.33991271112198 3.50889672205662 1.68262864890865 -2.86765300036293 FALSE ""
500 688 73 -1.43338384045063 3.57108492352575 2.31677629014106 -3.60132799327291 FALSE ""
900 591 74 -1.30449806839977 3.3728973928976 2.33999303390148 -3.59726170981155 FALSE ""
700 267 75 -1.36236055314822 3.38589757490445 2.34782826301251 -3.60802708958838 FALSE ""
1000 560 76 -1.25587300260328 3.43002095513245 1.95628773130752 -3.34192099873744 FALSE ""
1000 389 77 0.504117064536033 3.55434153885262 -2.05112382119694 -2.72340043062576 FALSE ""
500 651 78 -1.25002519415947 3.43035836273247 1.91982699236408 -3.21532781267554 FALSE ""
700 790 79 -1.29275538450113 3.32981555545815 1.92266764026064 -2.86994718981996 FALSE ""
800 778 80 -1.30526921906166 3.35697840955201 2.37207739994249 -3.82862627122939 FALSE ""
600 37 81 -1.26464665539487 3.32105385658225 1.95531071054711 -3.42013915028892 FALSE ""
500 225 82 -1.12314414367671 3.36567397927348 1.72964903999153 -3.4431313367663 FALSE ""
400 127 83 -1.28912803013731 3.34818165651388 2.09254013183934 -3.51080423713718 FALSE ""
900 393 84 -1.33555449861071 3.36251056853755 2.32461743101634 -3.56873365047687 FALSE ""
700 528 85 -1.11984613494711 3.30675043003642 1.72072681443407 -3.13183468542954 FALSE ""
400 62 86 -1.40955495007257 3.33396869024784 2.29559331554614 -3.20215824653012 FALSE ""
500 447 87 -1.142651341008 3.22139384352784 1.86333403458794 -3.42603113783073 FALSE ""
1000 264 88 -1.38150053880078 3.3885909519179 2.18530458829462 -3.22136468710985 FALSE ""
500 567 89 -1.32298334715364 3.36329900404483 2.41452939799571 -3.70589401896483 FALSE ""
900 265 90 -1.22277649387167 3.2835898255011 1.99469971553945 -3.10706794130211 FALSE ""
700 501 91 -1.19907898976612 3.23892998217445 1.98828700387396 -3.20525841095305 FALSE ""
900 108 92 -1.36298066599601 3.42277091053241 2.13717480586659 -3.43039367764446 FALSE ""
1000 279 93 -1.21754041265732 3.26672251652455 1.96029134523936 -3.33764941246394 FALSE ""
800 441 94 -1.33203886707589 3.46228248754018 2.01525303427234 -3.3975077631466 FALSE ""
400 45 95 -1.17595475386822 3.2937205744049 1.573607173608 -2.85947664081215 FALSE ""
800 699 96 -1.32527578870422 3.46071858536959 2.12266972957602 -3.43011559972087 FALSE ""
500 39 97 -1.40746605955936 3.46217695120502 2.46757293136845 -3.60369161193442 FALSE ""
400 322 98 -1.31459590505834 3.24074479364982 2.64914562925053 -3.86967843508686 FALSE ""
700 781 99 -1.32706155556571 3.29602956874262 2.39996555622011 -3.66604353328171 FALSE ""
600 593 100 -1.38035172154606 3.39655980364774 2.17169186169677 -3.2269757715915 FALSE ""
500 467 101 -1.36780255478981 3.43742812238691 2.3582307690896 -3.68550383934099 FALSE ""
700 308 102 -1.22909053906924 3.28642232435704 2.21995473139167 -3.45450083525145 FALSE ""
800 380 103 -1.31369277615509 3.34311643093488 2.13278399880127 -3.370477314931 FALSE ""
800 528 104 -1.36027639212196 3.43362876042471 2.15273359626872 -3.40362075291362 FALSE ""
600 98 105 -1.24890546187156 3.42530135269367 1.88540964720886 -3.27393478517864 FALSE ""
800 714 106 -1.33755984055953 3.49530455921807 2.18002558966754 -3.6016127529893 FALSE ""
700 681 107 -1.27053091742603 3.37303583405994 1.95784780114934 -3.24903989072979 FALSE ""
900 57 108 -1.29778050428486 3.43307628464132 2.27224894187628 -3.86154322682499 FALSE ""
400 790 109 -1.3596055612763 3.64632921489931 1.84293037648141 -3.19579341241134 FALSE ""
900 106 110 -1.297441063547 3.33398994571767 2.07577514476084 -3.14190460385476 FALSE ""
500 356 111 -1.39376570818847 3.29890618210646 2.62563536496826 -3.63026985292959 FALSE ""
800 575 112 -1.29221685460875 3.32818731865946 1.92731963728106 -2.90153915152446 FALSE ""
500 545 113 0.666618661501803 3.5386393272871 -2.37770950162245 -2.4984363788889 FALSE ""
800 494 114 -1.23053168463696 3.20723606619703 2.22591646062721 -3.43412366511254 FALSE ""
400 24 115 -1.47525328482132 3.5174247850158 2.57008895737757 -3.56741442925231 FALSE ""
400 556 116 -1.16841706775408 3.46643623862208 1.80575828129245 -3.5098191651829 FALSE ""
800 384 117 -1.23035522583921 3.33189758122304 2.09973886513098 -3.62260720276627 FALSE ""
600 439 118 -1.27614487902444 3.20709210206852 2.27226939609757 -3.44910587190407 FALSE ""
500 136 119 -1.35098606755229 3.46241114984398 2.13058909873901 -3.3837004491883 FALSE ""
800 333 120 -1.44324751971251 3.5095969375197 2.36604162804166 -3.43811078078499 FALSE ""
1000 316 121 -1.30568659553071 3.43184993024147 2.18496874260853 -3.59406833432423 FALSE ""
1000 785 122 -1.3621200542232 3.4669411261669 2.23817636023998 -3.59447836953683 FALSE ""
800 227 123 -1.20926275006512 3.36982815436456 1.91475713850846 -3.40360100130445 FALSE ""
600 611 124 -1.34595163282668 3.40782230406078 2.00773187380686 -3.32636514694424 FALSE ""
400 757 125 -1.28796176028869 3.53565320087316 1.98784112911686 -3.65630865086922 FALSE ""
1000 58 126 -1.33189688786581 3.27754725308347 2.35363986267689 -3.40532814829288 FALSE ""
900 793 127 -1.31909020725111 3.5101654298943 1.8036899371822 -3.26179350116739 FALSE ""
800 117 128 -1.27494902224827 3.36386202609026 2.16403013370097 -3.60321184113665 FALSE ""
600 665 129 -1.29665586633376 3.43310950074217 1.94494343765974 -3.21858375200524 FALSE ""
700 757 130 -1.16039972107754 3.21630438906787 1.87620798621847 -3.1672832992956 FALSE ""
700 397 131 -1.35686271879605 3.43908579007497 1.980697977764 -3.13703133294654 FALSE ""
700 105 132 -1.31137643629407 3.38163631933733 2.13648007550472 -3.31056251032217 FALSE ""
400 599 133 -1.27105966468525 3.31838573104477 2.10607946518079 -3.33405192449119 FALSE ""
400 536 134 -1.14342617311623 3.31471028212597 1.88718976367603 -3.50809103106952 FALSE ""
800 760 135 -1.27880713999139 3.30425683535686 2.28124369386679 -3.64701322937825 FALSE ""
600 257 136 -1.40748767427019 3.55281856358233 2.0410310446515 -3.54224028990134 FALSE ""
800 394 137 -1.30186958394036 3.45098881747892 1.92618546618516 -3.21999534823283 FALSE ""
700 512 138 -1.41217245797259 3.45815490953872 2.5271205622736 -3.9518796005066 FALSE ""
600 121 139 -1.21390531103541 3.51410075663028 1.57006409413684 -3.14620670408951 FALSE ""
600 167 140 -1.38834840821939 3.43715119968319 2.56173416360568 -3.93995136111542 FALSE ""
700 537 141 -1.22721403004033 3.30042453308881 1.84630371714451 -2.99041217660864 FALSE ""
1000 453 142 -1.33099294939424 3.36083744646658 2.19390307096849 -3.45301374367276 FALSE ""
500 562 143 -1.37199075548305 3.36606014096126 1.89057032352255 -2.67953227058718 FALSE ""
900 616 144 -1.21230932460353 3.27398562949328 1.64808157999228 -2.78027894816447 FALSE ""
1000 458 145 -1.25597441179853 3.27422662860678 2.09860381958727 -3.38983648458165 FALSE ""
700 257 146 -1.33614482578204 3.3626355636991 2.15431371762336 -3.097321255104 FALSE ""
600 128 147 -1.27741383177567 3.46792033106527 2.07726572226824 -3.40034901029914 FALSE ""
500 499 148 -1.4109687562198 3.58724376294367 2.50907565357811 -3.872520690108 FALSE ""
800 26 149 -1.26278258657457 3.30989453728596 2.04149247954455 -3.55845054939593 FALSE ""
400 711 150 -1.47938249780788 3.51570470163553 2.40196096127373 -3.63389391919792 FALSE ""
900 307 151 -1.16129529727091 3.21009158326256 2.09342337587533 -3.56527441228278 FALSE ""
400 424 152 -1.41714300205279 3.48267378531611 2.5263586073956 -3.77252785281994 FALSE ""
700 557 153 -1.25490853241457 3.40556737199169 2.14514372248856 -3.65228858954787 FALSE ""
800 358 154 -1.26951459859673 3.40147605159461 1.99344368592948 -3.40554077241788 FALSE ""
800 409 155 0.538749319961411 3.60199311366018 -2.14448625350723 -2.74289667827905 FALSE ""
400 145 156 -1.10892989727563 3.2214774755798 1.80795788528001 -3.31124362329298 FALSE ""
800 300 157 -1.33929627161977 3.43272644460595 2.24191202947404 -3.39946904097192 FALSE ""
800 197 158 -1.32798259499783 3.34965464490629 2.26559609235187 -3.69873156028057 FALSE ""
800 162 159 -1.29422304611375 3.38724989960285 2.3175485632777 -3.91466915333681 FALSE ""
900 775 160 -1.23593526491474 3.41980737891092 1.93806639256228 -3.42075364347467 FALSE ""
600 302 161 -1.25783971252769 3.37711157798392 2.02212814741551 -3.40517990941229 FALSE ""
700 35 162 -1.26281290865886 3.39932622144687 1.70047979956949 -3.0389141869738 FALSE ""
500 737 163 -1.21231377598952 3.23287693002021 1.88728741509504 -3.18413710225929 FALSE ""
900 164 164 -1.28706677023902 3.32357529214642 2.13371286890092 -3.16551441210073 FALSE ""
800 766 165 -1.35675051267087 3.50181326171594 2.07461675337516 -3.29537612820587 FALSE ""
700 172 166 -1.27269603975873 3.40729473438822 2.08328438870618 -3.588777285499 FALSE ""
600 179 167 -1.42152579604086 3.38582337236894 2.53113206073006 -3.81672936568451 FALSE ""
1000 694 168 -1.22739346644987 3.33328439274062 1.9890854988887 -3.22150690903817 FALSE ""
400 531 169 -1.37205170919505 3.44542854105889 2.36651567021251 -3.8725921234502 FALSE ""
800 718 170 -1.30309383849466 3.49494586716569 1.95162529523858 -3.42684681982981 FALSE ""
600 702 171 -1.22810105436198 3.24450435497566 2.10689791359164 -3.27276288576644 FALSE ""
600 62 172 -1.24026305426698 3.31637412271889 1.96199853564712 -3.28610838295631 FALSE ""
400 319 173 -1.33479432611691 3.38472751439691 2.66237410108679 -4.16325013941591 FALSE ""
900 205 174 -1.25822151510722 3.32865617272647 1.98628093647151 -3.34568427969734 FALSE ""
400 731 175 -1.34719286402083 3.24432707980197 2.35098263912916 -3.52454372760201 FALSE ""
500 466 176 -1.21856992139622 3.31670203057064 2.0366231563634 -3.36706481859719 FALSE ""
500 275 177 -1.31177803498441 3.5063100437672 2.17176218599034 -3.39273408188397 FALSE ""
800 246 178 -1.29002970423832 3.51899075319032 1.90186378742755 -3.34044856106209 FALSE ""
