"n" "mu" "sigma" "rep" "id" "mu_hat" "sigma_hat" "error" "errorMessage"
150 1 0.5 21 86 0.925342354525861 0.670179632291007 FALSE ""
300 0.5 0.5 41 87 0.526575179379282 0.405235697861561 FALSE ""
50 1.5 0.5 81 88 1.29666871044709 0.454577313277761 FALSE ""
150 1.5 0.5 79 89 1.4366446721505 0.538291954898913 FALSE ""
50 0.5 0.5 3 90 253646.338040326 2.21148855823062e-16 FALSE ""
50 1 0.5 62 91 0.775722779802665 0.99476169780284 FALSE ""
50 0.5 0.5 97 92 0.863698862633259 0.109575689431958 FALSE ""
150 0.5 1.5 2 93 0.43249018222594 2.32243372440466 FALSE ""
50 1.5 1.5 96 94 1.19966571136842 2.14509460628806 FALSE ""
200 0.5 0.5 61 95 0.450281075486074 0.743953075553077 FALSE ""
300 1.5 0.5 2 96 1.55743085080123 0.474084585604071 FALSE ""
300 1.5 1.5 71 97 1.40666154330583 1.54162274415352 FALSE ""
200 1 0.5 22 98 0.825222514329418 0.827111924094251 FALSE ""
300 1.5 1.5 16 99 1.33971436224579 1.96550945720173 FALSE ""
100 1.5 0.5 20 100 1.48056499887134 0.546460144736737 FALSE ""
100 0.5 0.5 89 101 0.519833202684983 0.525715955788705 FALSE ""
300 1 1.5 66 102 1.22703910510685 0.82447950031491 FALSE ""
200 1.5 0.5 2 103 1.56743790723614 0.38309387303733 FALSE ""
50 1 1.5 18 104 1.38171640828533 0.876848646394799 FALSE ""
200 1 1.5 56 105 1.04933263495322 1.54622410695989 FALSE ""
200 1 0.5 59 106 1.06717110453373 0.29475099402882 FALSE ""
200 1 0.5 94 107 0.731259751020803 0.984111647131302 FALSE ""
100 1 0.5 42 108 0.601104587626728 1.50892408343636 FALSE ""
300 1 0.5 55 109 0.975672179889098 0.516659489449214 FALSE ""
50 0.5 1.5 11 110 0.615894143045787 1.07247621557276 FALSE ""
150 1.5 1.5 63 111 1.37458851693574 1.75464160898023 FALSE ""
50 1.5 0.5 33 112 1.32244004838753 0.764928325969058 FALSE ""
150 1 0.5 10 113 0.861604867184867 0.560701890034276 FALSE ""
150 1.5 1.5 64 114 1.72037177181562 1.22757373914472 FALSE ""
50 0.5 1.5 81 115 0.459220056627949 1.85051059779817 FALSE ""
300 1.5 1.5 28 116 1.48509193532523 1.32057529788178 FALSE ""
100 1 1.5 2 117 0.973079944420805 1.67880256371069 FALSE ""
50 1.5 1.5 89 118 1.33320997140267 1.61296438875481 FALSE ""
100 1 1.5 89 119 0.760477707384699 2.65403880491751 FALSE ""
50 1.5 0.5 14 120 2.25105072210387 0.344964614096273 FALSE ""
50 0.5 0.5 76 121 0.521201819301042 0.378949915294871 FALSE ""
150 1 0.5 7 122 1.26977792878205 0.326186976007123 FALSE ""
300 1.5 0.5 66 123 1.17325773658549 0.751232294226241 FALSE ""
200 0.5 0.5 17 124 0.545621874408831 0.437918240785454 FALSE ""
50 0.5 0.5 85 125 0.916518491750616 0.134264764755353 FALSE ""
50 1.5 1.5 43 126 1.28821012714718 1.79452460423869 FALSE ""
200 1 1.5 23 127 1.00140175518881 1.36253950234834 FALSE ""
200 0.5 1.5 87 128 0.560625499750173 1.18966331767791 FALSE ""
200 0.5 0.5 23 129 271037.944677009 2.2114922515496e-16 FALSE ""
100 1 1.5 76 130 0.866944358428308 3.33647406091572 FALSE ""
300 1.5 0.5 5 131 2.16429719822595 0.211651809815675 FALSE ""
150 0.5 0.5 45 132 0.5038104884042 0.460984584204976 FALSE ""
50 0.5 0.5 17 133 0.287437178474454 3.28806376502928 FALSE ""
300 1.5 0.5 91 134 1.28684987808456 0.705509539723476 FALSE ""
150 0.5 0.5 37 135 0.578531098086779 0.401347111214042 FALSE ""
50 0.5 1.5 20 136 0.705994838982762 0.518056518833895 FALSE ""
100 1 0.5 31 137 0.992328973297837 0.63321133356288 FALSE ""
200 0.5 1.5 15 138 0.407560493561017 3.11937532975822 FALSE ""
150 0.5 0.5 2 139 0.306746681773147 1.88767874955918 FALSE ""
100 1.5 0.5 73 140 1.32377099276117 0.566652479005958 FALSE ""
100 1.5 1.5 86 141 1.50857548575702 1.80710864752328 FALSE ""
100 0.5 0.5 43 142 0.591366153268417 0.347210638263339 FALSE ""
100 1.5 1.5 90 143 1.55869341901845 1.53554814164041 FALSE ""
300 1.5 1.5 56 144 1.46129650973523 1.44534897187697 FALSE ""
200 0.5 0.5 19 145 0.394294891476928 0.957635160378259 FALSE ""
300 0.5 1.5 61 146 0.397200821688634 2.86422331215812 FALSE ""
50 1.5 0.5 83 147 0.91133276417203 1.53559597854973 FALSE ""
50 1.5 1.5 83 148 1.57307052428755 1.66072658616555 FALSE ""
50 0.5 0.5 7 149 0.444752013461953 0.683339389613323 FALSE ""
100 1 1.5 16 150 0.944420768150101 1.42565727926393 FALSE ""
200 1.5 0.5 39 151 1.67488913250561 0.405241276995905 FALSE ""
50 1 1.5 59 152 1.14236016082759 1.09553153540893 FALSE ""
300 0.5 1.5 18 153 0.512115423907282 1.28226267756523 FALSE ""
